chr	haplotype	start	end	ancestral_group
01 0 600001 13100000 M
01 0 13900001 22800000 M
01 0 23100001 28800000 M
01 1 600001 13100000 M
01 1 13900001 22800000 M
01 1 23100001 28800000 P
02 0 600001 900000 M
02 0 4200001 29100000 M
02 0 29200001 32700000 M
02 0 34100001 34900000 P
02 0 35400001 36200000 P
02 1 600001 900000 P
02 1 4200001 7700000 M
02 1 7700001 29100000 P
02 1 29200001 32700000 P
02 1 34100001 34900000 P
02 1 35400001 36200000 P
03 0 1 2900000 M
03 0 3100001 42900000 M
03 0 43800001 51000000 M
03 1 1 2900000 P
03 1 3100001 42900000 P
03 1 43800001 51000000 M
04 0 1 1000000 M
04 0 1400001 3900000 M
04 0 5600001 17500000 M
04 0 18100001 25500000 M
04 1 1 1000000 P
04 1 1400001 3900000 P
04 1 5600001 17500000 P
04 1 18100001 25500000 P
05 0 1 43289288 M
05 1 1 42200000 P
05 1 42200001 43289288 M
06 0 1 10400000 M
06 0 10500001 18500000 M
06 1 1 10400000 P
06 1 10500001 18500000 P
07 0 1 20500000 M
07 1 1 20500000 P
08 0 1 20300000 M
08 0 22600001 23000000 M
08 0 23200001 24200000 M
08 0 24400001 24700000 M
08 1 1 20300000 P
08 1 22600001 23000000 P
08 1 23200001 24200000 P
08 1 24400001 24700000 P
09 0 1 3300000 M
09 0 3800001 4600000 M
09 0 12000001 14300000 M
09 0 28200001 31000000 M
09 1 1 3300000 P
09 1 3800001 4600000 M
09 1 12000001 14300000 P
09 1 28200001 31000000 M
