chr	haplotype	start	end	ancestral_group
01	0	1	500000	C
01	0	600001	1000000	C
01	0	1500001	1800000	C
01	0	2000001	2200000	C
01	0	2300001	2500000	C
01	0	2600001	3500000	C
01	0	4300001	4900000	C
01	0	6500001	11100000	C
01	0	13300001	13400000	C
01	0	17300001	18600000	C
01	0	19100001	20100000	C
01	0	21900001	22900000	C
01	0	23400001	23700000	C
01	0	24200001	24500000	C
01	0	24600001	25000000	C
01	0	25800001	26400000	C
01	0	26700001	26900000	C
01	0	27300001	27500000	C
01	0	27800001	28100000	C
01	0	28200001	28800000	C
01	1	1	500000	C
01	1	600001	1000000	C
01	1	1500001	1800000	C
01	1	2000001	2200000	Mic
01	1	2300001	2500000	C
01	1	2600001	3500000	C
01	1	4300001	4900000	C
01	1	6500001	11100000	C
01	1	13300001	13400000	C
01	1	17300001	18600000	C
01	1	19100001	20100000	C
01	1	21900001	22900000	C
01	1	23400001	23700000	C
01	1	24200001	24500000	C
01	1	24600001	25000000	C
01	1	25800001	26400000	C
01	1	26700001	26900000	C
01	1	27300001	27500000	C
01	1	27800001	28100000	C
01	1	28200001	28800000	C
01	2	1	500000	Mic
01	2	600001	1000000	Mic
01	2	1500001	1800000	Mic
01	2	2000001	2200000	Mic
01	2	2300001	2500000	Mic
01	2	2600001	3500000	Mic
01	2	4300001	4900000	Mic
01	2	6500001	11100000	Mic
01	2	13300001	13400000	Mic
01	2	17300001	18600000	Mic
01	2	19100001	20100000	Mic
01	2	21900001	22900000	Mic
01	2	23400001	23700000	Mic
01	2	24200001	24500000	Mic
01	2	24600001	25000000	Mic
01	2	25800001	26400000	Mic
01	2	26700001	26900000	Mic
01	2	27300001	27500000	Mic
01	2	27800001	28100000	C
01	2	28200001	28800000	Mic
01	3	1	500000	Mic
01	3	600001	1000000	Mic
01	3	1500001	1800000	Mic
01	3	2000001	2200000	Mic
01	3	2300001	2500000	Mic
01	3	2600001	3500000	Mic
01	3	4300001	4900000	Mic
01	3	6500001	11100000	Mic
01	3	13300001	13400000	Mic
01	3	17300001	18600000	Mic
01	3	19100001	20100000	Mic
01	3	21900001	22900000	Mic
01	3	23400001	23700000	Mic
01	3	24200001	24500000	Mic
01	3	24600001	25000000	Mic
01	3	25800001	26400000	Mic
01	3	26700001	26900000	Mic
01	3	27300001	27500000	Mic
01	3	27800001	28100000	Mic
01	3	28200001	28800000	Mic
02	0	1	500000	C
02	0	900001	1300000	C
02	0	2700001	3000000	C
02	0	4100001	5100000	C
02	0	6000001	6700000	C
02	0	7200001	8000000	C
02	0	9100001	9700000	C
02	0	10400001	10500000	C
02	0	10800001	11600000	C
02	0	12500001	12600000	C
02	0	13700001	14700000	C
02	0	15800001	16300000	C
02	0	17400001	21800000	C
02	0	22000001	22200000	C
02	0	23300001	24000000	C
02	0	24700001	26000000	C
02	0	26700001	26800000	C
02	0	27100001	28800000	C
02	0	29900001	30200000	C
02	0	31000001	31800000	C
02	0	32100001	32300000	C
02	0	32500001	32800000	C
02	0	33300001	33500000	C
02	0	33600001	34000000	C
02	0	34200001	34300000	C
02	0	35200001	35400000	C
