chr	start	end	AA	BB
chr01	21019	558465	0.33705564024911283	0.6444029606580656
chr01	558485	828434	0.3513275752188843	0.6471582393435308
chr01	828444	1271184	0.3705151823925603	0.6208406723558999
chr01	1332673	1619700	0.385587171400808	0.6274654880397108
chr01	1619753	1828424	0.3094271816217656	0.6973083023466249
chr01	1838186	2426011	0.348868292776309	0.6662499206827356
chr01	2447597	2818829	0.33596744966852177	0.6857689717754086
chr01	2818833	3244703	0.3365177998476465	0.6787610490320576
chr01	3244751	3732624	0.3312815151831383	0.6765166248249598
chr01	3732628	4269595	0.3520119696434978	0.6664602306663482
chr01	4300277	4892547	0.3246495950560866	0.6835201526298651
chr01	4900577	5588578	0.33343480182869584	0.6373965984069337
chr01	5588599	5966875	0.3314176646559145	0.6618888375234768
chr01	5967200	6351058	0.34265759885616415	0.6552570502447356
chr01	6387642	6834959	0.3211372386858468	0.6795955256826699
chr01	6840051	7288591	0.3503313908288295	0.6493060579630425
chr01	7294304	7976894	0.33708199158017654	0.657722172428244
chr01	8024192	8326595	0.3071889562677308	0.6980755501641469
chr01	8331208	8811528	0.3457715039238743	0.6658555762329986
chr01	8847690	9327262	0.34920432647997723	0.6431653087021223
chr01	9348971	9801549	0.33270492446715144	0.69145641598144
chr01	9801565	10059183	0.3134463392236278	0.7085563391925156
chr01	10059203	10275565	0.3597997577814163	0.646034560876086
chr01	10318001	10825032	0.31997356145025413	0.687629028351581
chr01	10875111	11086147	0.35824271751066095	0.619242614912812
chr01	11086178	11648798	0.34246008229065	0.6423603817162574
chr01	11681936	12314086	0.31621804038034856	0.7022377470816472
chr01	12319722	12680831	0.37019585980418157	0.6349577554298445
chr01	12680868	13458783	0.3640133709807058	0.6458493838530359
chr01	13458798	14088127	0.354408633039004	0.6422546660433457
chr01	14217541	14722046	0.3153195679931771	0.6867314213773698
chr01	14722083	16455954	0.3659767499709413	0.6404008759710619
chr01	16455973	18924641	0.3869182130539996	0.6330644399012157
chr01	18924644	20312474	0.32461287239170084	0.6367570517572454
chr01	20312492	21238143	0.3634640355715027	0.646354267875077
chr01	21238227	23909226	0.3710581031134536	0.6470228852323398
chr01	23909255	25807379	0.3609999278540093	0.624032710289696
chr01	25813879	26493498	0.3256276959934091	0.6730612040771058
chr01	26563977	28733184	0.34354349628578035	0.6470328091366049
chr01	28733185	28960423	0.33446763899707055	0.6595146017980025
chr02	1560259	6345560	0.006928637754297939	1
chr02	6345568	9177989	0.005173022854140306	0.9807743214237106
chr02	9289706	9951097	0.12826688894795135	0.8368495697544887
chr02	10061053	12466799	0.018061862943979677	0.987214399692861
chr02	12801349	13769586	0.01661362067266582	0.9790979513517456
chr02	13769724	14554686	0.01372652350697264	0.9811493737027271
chr02	14554743	15278572	0.001965538436363068	0.9808281342764424
chr02	15278590	15701147	0.0018353457607014768	1
chr02	15701169	16419286	0.020178844384048267	1
chr02	16419338	17016668	0.009470842032594436	0.990728462081695
chr02	17019122	17474153	0.03763231887584221	0.9342261079384434
chr02	17474186	17836284	0.0023882668579031374	0.9954097827963329
chr02	17862233	18236293	0.0009275002885620754	0.9731009073506962
chr02	18257717	18771477	0.0049030814756161065	0.9549968736229993
chr02	18771498	19128217	0.0052231228156356	0.9592606878672876
chr02	19149817	19631935	0.01181196799940063	1
chr02	19631991	20041573	0.01054676492753779	0.9989523892243388
chr02	20041579	20482459	0.0018953910008823935	1
chr02	20487004	20790423	0.027184581295988733	0.9791742310987245
chr02	20822757	21214668	0.0016396828546655648	1
chr02	21307913	21793957	0.009696164058880264	0.9017731404560232
chr02	21796598	22303421	0.000738153471227788	0.9896072372846398
chr02	22303538	22849802	0.0008275615490385983	0.9776307183131275
chr02	22852878	23212418	0.03301192101091351	0.9742362242205947
chr02	23212471	23658582	0.03021617510222107	1
chr02	23658607	24106863	0.017723880834058202	1
chr02	24116548	24618218	0.0015075456654619198	0.9930425105719689
chr02	24618226	24890191	0.0	1
chr02	24991478	25551473	0.003944245281694866	1
chr02	25567233	25867782	0.0031628225985245095	1
chr02	25867786	26155817	0.004630849142835961	0.9960713494229114
chr02	26155820	26653924	0.004078868118037823	0.9960660876715145
chr02	26667821	26969190	0.19859913726459513	0.78156985142301
chr02	26998250	27329945	0.00328454871214823	1
chr02	27329953	27644018	0.006295365412586033	0.9820293852227202
chr02	27644033	27873832	0.0008188515210599158	1
chr02	27908115	28337523	0.0031576485854266164	0.9694773379998917
chr02	28379407	28789844	0.007209745069085481	0.9678931417063212
chr02	28831351	29157215	0.02781074328585391	1
chr02	29157216	29438438	0.029045383109554707	1
chr03	108194	509161	0.3821171154718606	0.6150943035550489
chr03	509209	853081	0.32387155506265003	0.6828096766522839
chr03	853085	1140553	0.3328049404416049	0.6620206608881133
chr03	1140580	1470675	0.3748981178995645	0.6228254797939748
chr03	1528651	2067424	0.3435936999576528	0.6467213298013297
chr03	2171194	2685748	0.38041061067416954	0.6037305191762068
chr03	2710142	3060455	0.3625844130742646	0.6562603752175199
chr03	3060492	3421897	0.3430313820776607	0.6665105283896753
chr03	3426594	4078332	0.3309428587224967	0.6544613291955891
chr03	4082747	4654073	0.3519836981108327	0.6621475221416823
chr03	4654109	5128322	0.34391690970340233	0.6576183534769614
chr03	5128334	5724971	0.34985363089095867	0.6640377106442351
chr03	5752244	6467458	0.34000594121414984	0.6494393036346447
chr03	6635379	7000690	0.3047645094768811	0.6713628736009699
chr03	7000696	7817336	0.34271596525363623	0.6395948920210939
chr03	7817352	8314342	0.3286163628825347	0.7036126026661675
chr03	8337111	9134013	0.32941814215212784	0.7109750797923337
chr03	9134022	9585692	0.34580816616483234	0.6634892341566749
chr03	9585762	9950658	0.3533412988516345	0.638312571360085
chr03	9973975	10970661	0.3537996212670877	0.6624141458401692
chr03	10979532	13115904	0.35021061228169165	0.6169711327457037
chr03	13115919	14976137	0.32521307519561155	0.6168930943243228
chr03	15023323	16805686	0.3261787261824877	0.6788166494733179
chr03	16805710	17643284	0.35544142479499624	0.634929961757422
chr03	17643287	18998285	0.3324360896378603	0.666012140485604
chr03	19003801	22659440	0.38540020141490333	0.6330611596935968
chr03	22659482	23494289	0.3400023623625215	0.6764778439536225
chr03	23494318	23795559	0.3572919408995292	0.6658057141522293
chr03	23795606	24605099	0.3456357793984797	0.6564159350305101
chr03	24605105	24856336	0.3607186534685071	0.6281498817547893
chr03	24892278	25304817	0.3725222669056746	0.6759333617694373
chr03	25304823	25916491	0.3695939163379567	0.6300078825008183
chr03	25926584	26222357	0.3557558683973593	0.6546856588093837
chr03	26222360	26680979	0.36253103970263606	0.6426411731544872
chr03	26810437	27500372	0.3452388818012239	0.6515286848547502
chr03	27530610	28190088	0.37176327696051586	0.6422647213769331
chr03	28206620	28657709	0.322936326906822	0.6480855311286665
chr03	28715695	29272192	0.33058345434918124	0.6788063205491163
chr03	29280216	29773101	0.3445916313975632	0.6685152803572734
chr03	29773115	30203554	0.3619691263617122	0.6465625695511392
chr03	30218142	30525522	0.3115998273123593	0.6996344032729929
chr03	30567777	30992040	0.34434760056767744	0.6598663845158691
chr03	31009146	31398976	0.36549573955622444	0.641674495266204
chr03	31416742	31877896	0.3435319022231302	0.6550774072835543
chr03	31944877	32585016	0.34651548402210985	0.6456400866715114
chr03	32589321	33041255	0.30045537728221733	0.6436002132762169
chr03	33095401	33621770	0.34120749260072336	0.7090073589838355
chr03	33636746	34303075	0.36389861458785056	0.6703875262143391
chr03	34314309	34781630	0.3100154005235941	0.6920398574011201
chr03	34781631	35001189	0.30884595625655875	0.6754069288229682
chr04	60911	491059	0.36794834295692597	0.6346769621410333
chr04	530090	1190268	0.3287470815690995	0.6743430201587177
chr04	1211568	1926357	0.32850375245062685	0.6729821882916989
chr04	1983856	2543697	0.35930119627456436	0.6399187192468594
chr04	2547658	3126306	0.3763022719936296	0.6229913265350845
chr04	3154897	3759152	0.3603024269125907	0.6514600234448272
chr04	3885566	4288977	0.342472894539156	0.6522164199655286
chr04	4382941	4866880	0.35927394003786906	0.6575911645069227
chr04	4866901	5125328	0.32777610213685543	0.704853361739577
chr04	5125345	5685414	0.3372343538158083	0.6483295164762106
chr04	5730613	6172708	0.3677723415038424	0.6275401976354682
chr04	6179340	6568753	0.37400855522721965	0.6279483722775345
chr04	6568759	7032523	0.31517158360366776	0.6777480604920961
chr04	7049997	7573525	0.3191532887495814	0.6801571670747333
chr04	7579399	8134865	0.340771057858364	0.6716660772992596
chr04	8166752	8650176	0.2810399061246746	0.672519434074965
chr04	8650194	9914862	0.37532066334489106	0.6269206743809773
chr04	9914887	10575017	0.3663588971808532	0.63639438717909
chr04	10589851	11330893	0.30922936708475496	0.6697654703238863
chr04	11410993	12050295	0.30432247393488004	0.6778016002143511
chr04	12072554	14832381	0.3359645263140651	0.6648431550128573
chr04	14905958	15564714	0.3604603448980331	0.628914631064392
chr04	15610073	16517576	0.3545158777853595	0.5865328991210504
chr04	16517601	17424922	0.3605611490266128	0.6595932640620465
chr04	17543132	18874475	0.35217589029940993	0.638588179516887
chr04	18880835	20118652	0.3839526751512704	0.6428226656991706
chr04	20118665	20995002	0.32955025470239946	0.6749095604850187
chr04	21040948	22078517	0.3221272118637845	0.6878466358441757
chr04	22100267	22872661	0.344945600370319	0.6693710723123125
chr04	22872683	23234751	0.35325135135752195	0.6432437955739758
chr04	23234755	23707508	0.3514730190021999	0.6535761950558177
chr04	23707522	23957183	0.3777942094309537	0.6308138991145942
chr04	23999036	24769928	0.3466837980067474	0.64511806194906
chr04	24769988	25707054	0.32139280373301254	0.6724471661389966
