chr	haplotype	start	end	ancestral_group
01 0 1 29070452 g5
01 1 1 29070452 g5
02 0 1 18626118 g5
02 0 18626121 18644839 g3
02 0 18644848 18646815 g5
02 0 18646943 18655016 g3
02 0 18656269 29511734 g5
02 1 1 29511734 g5
03 0 1 35020413 g5
03 1 1 2656383 g5
03 1 2656989 24067553 g4
03 1 24067615 24144856 g7
03 1 24154946 28995033 g5
03 1 28995041 29189818 g7
03 1 29190633 29190633 g4
03 1 29190871 29190911 g7
03 1 29190933 32431467 g4
03 1 32431608 35020413 g5
04 0 1 37105743 g5
04 1 1 10814959 g5
04 1 10814980 10814980 g7
04 1 10815042 10815254 g5
04 1 10815269 10852421 g7
04 1 10852424 10871184 g4
04 1 10871190 10912640 g7
04 1 10912658 10914524 g4
04 1 10914690 10914711 g7
04 1 10914736 11525488 g4
04 1 11525583 11568377 g7
04 1 11572225 11595434 g4
04 1 11595447 14923945 g7
04 1 14931205 18898494 g4
04 1 18898687 18903476 g7
04 1 18903483 18915765 g4
04 1 18915810 20152001 g7
04 1 20223870 37105743 g5
05 0 1 3538633 g5
05 0 3538737 3694820 g7
05 0 3697038 8666829 g4
05 0 8667085 8833815 g7
05 0 8833887 33565047 g4
05 0 33565573 33565608 g7
05 0 33565618 37161165 g5
05 0 37161189 37879350 g4
05 0 37880582 38740017 g5
05 0 38740079 40027454 g4
05 0 40027478 40078047 g7
05 0 40078065 41853232 g5
05 1 1 41853232 g5
06 0 1 37593364 g5
06 1 1 37593364 g5
07 0 1 35028021 g5
07 1 1 35028021 g5
08 0 1 44889171 g5
08 1 1 34942294 g5
08 1 34942451 35187535 g7
08 1 35187601 36924660 g4
08 1 36925792 37018045 g7
08 1 37018180 44889171 g5
09 0 1 1681594 g5
09 0 1681738 2001304 g7
09 0 2001322 6352947 g4
09 0 6352998 13246676 g5
09 0 13246724 17246700 g7
09 0 17246725 37674811 g4
09 0 37674841 37971640 g7
09 0 37971645 38779749 g5
09 0 38779788 40057034 g4
09 0 40057052 40315012 g7
09 0 40348824 40351493 g4
09 0 40351502 40368274 g7
09 0 40368392 41306725 g4
09 1 1 41306725 g5
10 0 1 31559966 g5
10 0 31559990 37674811 g4
10 1 1 37674811 g5
11 0 1 27954350 g5
11 1 1 3797818 g5
11 1 3797850 3821153 g7
11 1 3821174 24107424 g4
11 1 24107502 24185469 g7
11 1 24185523 25908207 g4
11 1 25908696 27954350 g5
