chr	haplotype	start	end	ancestral_group
01 0 1 914859 g3
01 0 935898 945410 g7
01 0 945522 3779551 g3
01 0 3779576 3779585 g7
01 0 3779615 3779690 g3
01 0 3779927 3784547 g7
01 0 3784561 3784575 g3
01 0 3784663 4092903 g7
01 0 4092923 4092926 g3
01 0 4138965 4141852 g7
01 0 4141872 4152420 g3
01 0 4152447 4313355 g7
01 0 4313360 6038568 g3
01 0 6038581 6052772 g7
01 0 6052831 6053054 g3
01 0 6053189 6053189 g7
01 0 6053368 6310361 g3
01 0 6310459 6388849 g7
01 0 6388884 6388950 g3
01 0 6389016 6468294 g7
01 0 6468299 6468299 g3
01 0 6468352 6468964 g7
01 0 6468967 6568167 g3
01 0 6568195 6585671 g7
01 0 6585688 6927927 g3
01 0 6927943 6991551 g7
01 0 6995278 6995308 g3
01 0 6995330 7022371 g7
01 0 7022434 7022434 g3
01 0 7022527 7022527 g7
01 0 7022542 7541386 g3
01 0 7541395 7558124 g7
01 0 7558130 7574460 g3
01 0 7574678 7574751 g7
01 0 7574783 7630299 g3
01 0 7630438 8030393 g7
01 0 8030417 8961178 g3
01 0 8961250 8962865 g7
01 0 8962907 8970574 g3
01 0 8970582 8970582 g7
01 0 8970589 8975377 g3
01 0 8975434 9031803 g7
01 0 9032020 12655906 g3
01 0 12656090 12661720 g7
01 0 12661750 12662189 g3
01 0 12662251 12668032 g7
01 0 12668090 12854925 g3
01 0 12854973 12856024 g7
01 0 12856072 12858594 g3
01 0 12858631 12911952 g7
01 0 12911983 12981131 g3
01 0 12985476 12986561 g7
01 0 12986609 12986609 g3
01 0 12986750 13166670 g7
01 0 13166710 13216919 g3
01 0 13217273 13252851 g7
01 0 13256189 13458762 g3
01 0 13458771 13458783 g7
01 0 13458866 23284042 g3
01 0 23284101 23288529 g7
01 0 23289636 25292425 g3
01 0 25292437 29070452 g7
01 1 1 331590 g6
01 1 331603 331613 g3
01 1 331623 384537 g7
01 1 384555 459137 g6
01 1 459218 459634 g7
01 1 459677 2076780 g6
01 1 2076799 2483967 g7
01 1 2536273 29070452 g4
02 0 1 29511734 g4
02 1 1 18968843 g3
02 1 18968970 18968970 g7
02 1 18975019 18975019 g3
02 1 18975692 20455657 g7
02 1 20456493 20457117 g3
02 1 20458033 20458203 g7
02 1 20458222 21189148 g3
02 1 21215782 21216344 g7
02 1 21216579 21491376 g3
02 1 21491556 27178277 g4
02 1 27178283 27228687 g3
02 1 27228697 27288254 g4
02 1 27288257 28779734 g3
02 1 28779781 28779956 g4
02 1 28780127 28781304 g3
02 1 28781344 28781495 g4
02 1 28781516 28874847 g3
02 1 28874851 29511734 g4
03 0 1 3565921 g6
03 0 3565963 3566899 g7
03 0 3567289 24464061 g6
03 0 24464072 24536659 g7
03 0 24537872 24537890 g6
03 0 24537914 24616039 g7
03 0 24616058 25080388 g6
03 0 25080406 27223341 g7
03 0 27223598 27259458 g3
03 0 27259578 27509060 g7
03 0 27509081 27571952 g6
03 0 27573777 27583085 g7
03 0 27583091 27583367 g6
03 0 27595117 27604314 g7
03 0 27604350 35020413 g6
03 1 1 25077000 g4
03 1 25077021 29270201 g7
03 1 29270234 30241006 g3
03 1 30241052 31083017 g7
03 1 31083190 31107772 g3
03 1 31107786 31242099 g7
03 1 31242177 31242207 g3
03 1 31242408 31242408 g7
03 1 31242465 31262692 g3
03 1 31262711 31286424 g7
03 1 31286436 31297425 g3
03 1 31297571 31301255 g7
03 1 31301285 31701203 g3
03 1 31701222 33806172 g7
03 1 33806177 33884769 g3
03 1 33885286 33885607 g7
03 1 33885619 33899156 g3
03 1 33902082 33902085 g7
03 1 33902112 34042502 g3
03 1 34047410 35020413 g7
04 0 1 3715441 g4
04 0 3715763 4470835 g7
04 0 4471243 4492297 g3
04 0 4492391 5713437 g7
04 0 5713458 5713458 g5
04 0 5713464 5849587 g7
04 0 5849652 6078860 g5
04 0 6078892 6100149 g7
04 0 6100170 6101169 g5
04 0 6101246 6102620 g7
04 0 6102626 6157093 g5
04 0 6158222 6158541 g7
04 0 6158917 6159178 g5
04 0 6159211 6159340 g7
04 0 6159348 6168024 g5
04 0 6185969 6185969 g7
04 0 6186009 6189108 g5
04 0 6212047 6212935 g7
04 0 6212950 6213115 g5
04 0 6213121 6213139 g7
04 0 6213155 6249583 g5
04 0 6250742 6264290 g7
04 0 6266338 6268014 g5
04 0 6268035 10212047 g7
04 0 10212083 10212288 g6
04 0 10212291 10219750 g7
04 0 10219789 10222900 g6
04 0 10222917 10262930 g7
04 0 10265020 11108970 g6
04 0 11109015 11111958 g7
04 0 11111990 11329164 g6
04 0 11329309 11498483 g7
04 0 11498533 11732779 g6
04 0 11735267 11937909 g7
04 0 11940855 11945024 g6
04 0 12011758 12011758 g7
04 0 12011762 14683194 g6
04 0 14683274 14698779 g7
04 0 14700181 14703814 g6
04 0 14794729 14920253 g7
04 0 14920283 14934890 g6
04 0 14935123 15049691 g7
04 0 15050268 16038751 g6
04 0 16039563 16039668 g7
04 0 16041849 17230647 g6
04 0 17230659 17429484 g7
04 0 17429572 24908830 g6
04 0 24908860 24934309 g7
04 0 24936297 24936324 g6
04 0 24936339 24936516 g7
04 0 24939267 25274075 g6
04 0 25275284 25276959 g7
04 0 25276989 25280716 g6
04 0 25280846 25945885 g7
04 0 25945890 27568660 g4
04 0 27568765 27639515 g7
04 0 27641430 27700107 g3
04 0 27700110 28108299 g7
04 0 28108311 33524810 g6
04 0 33526331 33527403 g7
04 0 33527431 33527468 g6
04 0 33527473 34993523 g7
04 0 34993562 35114655 g4
04 0 35114695 35129922 g7
04 0 35130454 35130454 g4
04 0 35130474 35229701 g7
04 0 35229731 35299378 g4
04 0 35318957 35323941 g7
04 0 35324148 35410500 g4
04 0 35410504 35411507 g7
04 0 35426397 35430190 g4
04 0 35431325 37105743 g7
04 1 1 917237 g7
04 1 923108 935220 g3
04 1 935239 1199509 g7
04 1 1199521 1201700 g3
04 1 1201994 1214550 g7
04 1 1214564 1219572 g3
04 1 1219593 1219593 g7
04 1 1219602 1239420 g3
04 1 1239527 1395807 g7
04 1 1395879 1403263 g3
04 1 1403372 1660445 g7
04 1 1660454 1669464 g3
04 1 1669736 1669743 g7
04 1 1669756 1669808 g3
04 1 1669820 1669913 g7
04 1 1669923 1789240 g3
04 1 1791939 1896115 g7
04 1 1896226 1896795 g4
04 1 1896875 1896875 g7
04 1 1896917 1897307 g4
04 1 1897312 1922617 g3
04 1 1922742 2104434 g7
04 1 2104452 2164287 g3
04 1 2172551 2172654 g7
04 1 2172658 2172675 g3
04 1 2172864 2370759 g7
04 1 2370774 2370786 g3
04 1 2370798 2370980 g7
04 1 2370987 2371952 g3
04 1 2372073 2372073 g7
04 1 2372398 2372398 g3
04 1 2474783 2475724 g7
04 1 2475731 3538144 g3
04 1 3539756 3540362 g7
04 1 3540369 3541871 g3
04 1 3541877 3541964 g7
04 1 3541970 3541970 g3
04 1 3541988 3554194 g7
04 1 3554209 3597219 g3
04 1 3597991 3749176 g7
04 1 3749229 3749278 g5
04 1 3758008 3787052 g7
04 1 3787105 3790173 g5
04 1 3790340 3834867 g7
04 1 3835992 3839020 g5
04 1 3839096 3869651 g7
04 1 3869663 3893647 g5
04 1 3893665 3893751 g7
04 1 3893772 3927760 g5
04 1 3927829 3927911 g7
04 1 3927967 3932503 g5
04 1 3932509 3990018 g7
04 1 3990194 3991145 g5
04 1 3992231 3994749 g7
04 1 3994758 4003241 g5
04 1 4003443 4005922 g7
04 1 4005940 4130795 g5
04 1 4130812 4255691 g7
04 1 4256268 4261892 g5
04 1 4261903 4302309 g7
04 1 4302315 4302332 g3
04 1 4336136 4418714 g7
04 1 4418720 4419995 g3
04 1 4420013 4421727 g7
04 1 4424238 4424511 g3
04 1 4424576 4426798 g7
04 1 4426944 4519013 g5
04 1 4519043 4522910 g7
04 1 4522925 4650268 g3
04 1 4650398 5151400 g7
04 1 5152735 5153019 g3
04 1 5153073 5168762 g7
04 1 5168769 5169882 g3
04 1 5169909 5264376 g7
04 1 5264393 6157010 g3
04 1 6157093 6158222 g7
04 1 6158418 6158418 g3
04 1 6158541 6160935 g7
04 1 6161055 6235673 g3
04 1 6235938 6609421 g7
04 1 6609708 6610876 g3
04 1 6613338 6614077 g7
04 1 6614122 7146530 g3
04 1 7146731 7148217 g7
04 1 7148303 7148346 g3
04 1 7148352 8327234 g7
04 1 8327237 8379120 g3
04 1 8379124 8487418 g7
04 1 8487428 8487433 g3
04 1 8487463 8487463 g7
04 1 8487467 8505891 g3
04 1 8506443 8506548 g7
04 1 8506593 9860067 g3
04 1 9860082 10292801 g7
04 1 10292804 10292909 g3
04 1 10292929 10293001 g7
04 1 10293044 10293957 g3
04 1 10293965 10417407 g7
04 1 10417443 10417689 g3
04 1 10417693 10852278 g7
04 1 10852323 10852323 g3
04 1 10852421 10908293 g7
04 1 10908302 11732556 g3
04 1 11732755 11732755 g7
04 1 11732779 24997395 g3
04 1 24997429 25274066 g7
04 1 25274075 25275284 g3
04 1 25275533 25275533 g7
04 1 25275620 25275633 g3
04 1 25275663 25281049 g7
04 1 25281275 25294141 g3
04 1 25294191 25294191 g7
04 1 25294249 27826100 g3
04 1 27826105 27892130 g7
04 1 27902982 27902982 g3
04 1 27903178 27905839 g7
04 1 27905881 27905932 g3
04 1 27905992 27960423 g7
04 1 27960486 27963110 g3
04 1 27963228 27984144 g7
04 1 27984156 29233979 g3
04 1 29233997 29578952 g7
04 1 29579424 32217489 g4
04 1 32218169 33048647 g7
04 1 33048686 35647235 g4
04 1 35647636 35956605 g7
04 1 35956869 36198736 g4
04 1 36198898 36225193 g7
04 1 36225208 37105743 g4
05 0 1 9452110 g4
05 0 9452291 9461790 g7
05 0 9461839 9520734 g4
05 0 9520745 9713044 g7
05 0 9826071 9866387 g4
