chr	haplotype	start	end	ancestral_group
01 0 1 28800000 M
01 1 1 28800000 P
02 0 1 22200000 M
02 0 22300001 29700000 M
02 0 29900001 31700000 M
02 0 31900001 34100000 M
02 1 1 22200000 P
02 1 22300001 29700000 P
02 1 29900001 31700000 P
02 1 31900001 34100000 P
03 0 3300001 51000000 M
03 1 3300001 51000000 P
04 0 1 3900000 M
04 0 5600001 25500000 M
04 1 1 3900000 P
04 1 5600001 25500000 P
05 0 1 43100000 M
05 1 1 43100000 P
06 0 1 18500000 M
06 1 1 18500000 P
07 0 1 20500000 M
07 1 1 20500000 P
08 0 1 24700000 M
08 1 1 24700000 P
09 0 1 31000000 M
09 1 1 31000000 P
