chr	start	end	AA	BB
chr01	20888	575188	0.660757486645395	0.30378982223766354
chr01	588070	1052663	0.6425583592191819	0.3508607451997505
chr01	1097229	1657934	0.7355412887547506	0.2661255866893344
chr01	1657958	2045855	0.6136974042002844	0.3851682528896984
chr01	2058059	2655100	0.5543371247412866	0.39469329280411
chr01	2655104	3186467	0.6752108036341729	0.3208947817296506
chr01	3244703	3837658	0.6951554613138214	0.3155181655339866
chr01	3837687	4723819	0.6813746934348566	0.32271710110143237
chr01	4723845	5424303	0.6151321118648684	0.34728280305740766
chr01	5424339	5913274	0.5958544251930159	0.41093308292934
chr01	5922452	6533071	0.6613633230050664	0.3655731042508091
chr01	6559861	7024033	0.7108898717821223	0.2875100997826719
chr01	7046851	7976873	0.631539723304281	0.37672392101911945
chr01	7976894	8453821	0.681381726135571	0.31989494741784125
chr01	8523319	9361823	0.6714970056280061	0.332779937808573
chr01	9400979	10042817	0.6937666742284189	0.3134289293091288
chr01	10059183	10318041	0.6689484506350045	0.31546836148711466
chr01	10342134	10956459	0.66571880119528	0.35681099362298097
chr01	10956499	11540096	0.622249848809069	0.2781740946313384
chr01	11600266	12439606	0.6963799624860106	0.2816268548593748
chr01	12439620	13016109	0.7008571618229839	0.3428327365014406
chr01	13259710	14062422	0.7030235507392432	0.3271128318700142
chr01	14062440	15460443	0.7325552177976021	0.2798419327121581
chr01	15460465	17432475	0.622168552604928	0.35821124195297693
chr01	17458222	19673581	0.696361684786055	0.34840668644090594
chr01	19673592	20988526	0.7702497506126227	0.21296396132539813
chr01	20988543	23485430	0.737078316211977	0.3025905572654537
chr01	23502004	25850984	0.6833365903531113	0.28706492757452823
chr01	25886058	27573731	0.5142663627341625	0.48386552428165347
chr01	27573732	28229722	0.6843354958229199	0.35538052561264977
chr02	2432380	6552274	0.6739562784430796	0.3064588399174792
chr02	6990063	9951083	0.6893727158552564	0.32686883222851504
chr02	9951088	13139288	0.6989399035471756	0.3198223540581377
chr02	13185481	14007777	0.7080067817148847	0.27748305456379735
chr02	14007812	15335193	0.7246358330409253	0.23972695506660785
chr02	15344490	16359344	0.6579079347953989	0.3516567083266868
chr02	16359384	17019183	0.7118613459362946	0.2864686150482766
chr02	17088957	17564409	0.5774792358247742	0.37044473423067203
chr02	17564421	18120793	0.6662752822923013	0.33073034611062363
chr02	18133107	18779392	0.6842429220646337	0.2882357992086673
chr02	18779395	19349732	0.6360665820040838	0.3343105256334904
chr02	19349764	19772109	0.6409640111393101	0.3578547419818449
chr02	19772132	20409998	0.6707447577974222	0.339699058604022
chr02	20410037	20845294	0.6802203514206592	0.31381950851424517
