Hybrid	Ancestry	Chromosome	Position_Start	Position_End	Frequence
Giant_key	C	1	1	353069	0.551401869158878
Giant_key	C	1	353070	448778	0.439252336448598
Giant_key	C	1	448779	523465	0.6
Giant_key	C	1	523466	698345	0.484210526315789
Giant_key	C	1	698346	907036	0.534426229508197
Giant_key	C	1	907037	982639	0.609756097560976
Giant_key	C	1	982640	1451491	0.284090909090909
Giant_key	C	1	1451492	1766042	0.509259259259259
Giant_key	C	1	1766043	1870461	0.375
Giant_key	C	1	1870462	2215192	0.269230769230769
Giant_key	C	1	2215193	2493096	0.444444444444444
Giant_key	C	1	2493097	2570331	0.644628099173554
Giant_key	C	1	2570332	2833794	0.47
Giant_key	C	1	2833795	3046456	0.434782608695652
Giant_key	C	1	3046457	3215089	0.482233502538071
Giant_key	C	1	3215090	3451426	0.471204188481675
Giant_key	C	1	3451427	3757717	0.338709677419355
Giant_key	C	1	3757718	3769092	0.845238095238095
Giant_key	C	1	3769093	4054739	0.488372093023256
Giant_key	C	1	4054740	4246472	0.489795918367347
Giant_key	C	1	4246473	4543298	0.415384615384615
Giant_key	C	1	4543299	4828046	0.560975609756098
Giant_key	C	1	4828047	5268835	0.682926829268293
Giant_key	C	1	5268836	5541241	0.467592592592593
Giant_key	C	1	5541242	5652265	0.5
Giant_key	C	1	5652266	6501212	0.433734939759036
Giant_key	C	1	6501213	7263784	0.519607843137255
Giant_key	C	1	7263785	7793732	0.452702702702703
Giant_key	C	1	7793733	9317764	0.536082474226804
Giant_key	C	1	9317765	9322308	0.564814814814815
Giant_key	C	1	9322309	11012226	0.579937304075235
Giant_key	C	1	11012227	11944307	0.435897435897436
Giant_key	C	1	11944308	13333789	0.414634146341463
Giant_key	C	1	13333790	14508306	0.381944444444444
Giant_key	C	1	14508307	15494687	0.610169491525424
Giant_key	C	1	15494688	16204798	0.51937984496124
Giant_key	C	1	16204799	16679238	0.426229508196721
Giant_key	C	1	16679239	16740171	0.563758389261745
Giant_key	C	1	16740172	17833370	0.442622950819672
Giant_key	C	1	17833371	18540543	0.487341772151899
Giant_key	C	1	18540544	18896748	0.716417910447761
Giant_key	C	1	18896749	19012465	0.609375
Giant_key	C	1	19012466	19207280	0.496478873239437
Giant_key	C	1	19207281	20095672	0.492957746478873
Giant_key	C	1	20095673	20924835	0.641791044776119
Giant_key	C	1	20924836	21889285	0.729166666666667
Giant_key	C	1	21889286	22554621	0.53030303030303
Giant_key	C	1	22554622	22877883	0.452631578947368
Giant_key	C	1	22877884	22984257	0.345588235294118
Giant_key	C	1	22984258	23057925	0
Giant_key	C	1	23057926	23238632	0.40952380952381
Giant_key	C	1	23238633	23484086	0.4
Giant_key	C	1	23484087	23698964	0.439446366782007
Giant_key	C	1	23698965	23749610	0.555555555555556
Giant_key	C	1	23749611	24162184	0.394230769230769
Giant_key	C	1	24162185	24401662	0.427652733118971
Giant_key	C	1	24401663	24575523	0.69060773480663
Giant_key	C	1	24575524	24775384	0.449152542372881
Giant_key	C	1	24775385	25024835	0.50561797752809
Giant_key	C	1	25024836	25185681	0.536231884057971
Giant_key	C	1	25185682	25232184	0.419642857142857
Giant_key	C	1	25232185	25519257	0.509803921568627
Giant_key	C	1	25519258	25729172	0.606451612903226
Giant_key	C	1	25729173	26087795	0.544871794871795
Giant_key	C	1	26087796	26373733	0.447058823529412
Giant_key	C	1	26373734	26666051	0.404255319148936
Giant_key	C	1	26666052	26808376	0.5
Giant_key	C	1	26808377	27036818	0.149700598802395
Giant_key	C	1	27036819	27274479	0.5
Giant_key	C	1	27274480	27287314	0.229508196721311
Giant_key	C	1	27287315	27545242	0.455357142857143
Giant_key	C	1	27545243	28112035	0.655172413793103
Giant_key	C	1	28112036	28418739	0.396341463414634
Giant_key	C	1	28418740	28486074	0.470588235294118
Giant_key	C	1	28486075	28594316	0.447916666666667
Giant_key	C	1	28594317	28919333	0.429824561403509
Giant_key	C	2	1	303660	0.557142857142857
Giant_key	C	2	303661	539327	0.409937888198758
Giant_key	C	2	539328	2958070	0.423728813559322
