chr	haplotype	start	end	ancestral_group
01 0 1 545220 g3
01 0 545333 1161947 g7
01 0 1161962 1162078 g5
01 0 1162088 1162117 g7
01 0 1162139 1162883 g5
01 0 1162925 1167512 g7
01 0 1167536 1187222 g5
01 0 1187228 1187228 g7
01 0 1187261 1187516 g5
01 0 1187676 1187733 g7
01 0 1187751 1187913 g5
01 0 1187958 1202545 g7
01 0 1202563 1204213 g5
01 0 1251334 1371338 g7
01 0 1371396 1894137 g5
01 0 1897688 1898195 g7
01 0 1898422 1901220 g5
01 0 1901226 1901283 g7
01 0 1901352 1987391 g5
01 0 1987812 1988291 g7
01 0 2022848 2060567 g5
01 0 2060571 2072797 g7
01 0 2072817 2074238 g5
01 0 2074248 2076815 g7
01 0 2076820 2089703 g5
01 0 2092372 2092372 g7
01 0 2092382 2141480 g5
01 0 2141596 2142224 g7
01 0 2142374 2142407 g5
01 0 2142462 2142633 g7
01 0 2142688 2142688 g5
01 0 2142745 2142763 g7
01 0 2142769 2142856 g5
01 0 2142871 2142871 g7
01 0 2142874 2302347 g5
01 0 2302476 2314911 g7
01 0 2315570 2317646 g5
01 0 2317682 2628106 g7
01 0 2628115 2698286 g5
01 0 2698310 2702477 g7
01 0 2785356 2785356 g5
01 0 2785426 2840511 g7
01 0 2840574 2840591 g5
01 0 2840763 2840763 g7
01 0 2840812 2841546 g5
01 0 2841558 3164635 g7
01 0 3164681 3175265 g5
01 0 3175275 3230597 g7
01 0 3230653 3230653 g5
01 0 3230700 3230700 g7
01 0 3235146 3279489 g5
01 0 3280790 3284531 g7
01 0 3284751 3284751 g5
01 0 3284906 3305776 g7
01 0 3305937 3309028 g5
01 0 3311953 3315451 g7
01 0 3329208 3590493 g5
01 0 3591413 3618653 g7
01 0 3647554 4657606 g5
01 0 4659871 4660048 g7
01 0 4660063 4988121 g5
01 0 4988374 5015229 g7
01 0 5015529 5015532 g5
01 0 5015606 5920117 g7
01 0 5920123 5929681 g5
01 0 5929711 7274102 g7
01 0 7274204 7350400 g5
01 0 7350407 7373153 g7
01 0 7373988 7374164 g5
01 0 7374172 7374535 g7
01 0 7374585 10293797 g5
01 0 10293805 10302757 g7
01 0 10302790 10506970 g5
01 0 10506985 11378002 g7
01 0 11378110 13237962 g5
01 0 13240544 13853697 g7
01 0 13853802 13981284 g5
01 0 13981412 29070452 g7
01 1 1 3560125 g3
01 1 3560145 3560158 g7
01 1 3560341 3666292 g3
01 1 3667757 3667757 g7
01 1 3667820 3735773 g3
01 1 3735848 3735903 g7
01 1 3735940 3735940 g3
01 1 3735948 3741775 g7
01 1 3741823 3742727 g3
01 1 3742780 4676887 g7
01 1 4676908 5818226 g3
01 1 5818234 5818402 g7
01 1 5818456 5821464 g3
01 1 5824216 5845027 g7
01 1 5845054 5879047 g3
01 1 5879137 5886719 g7
01 1 5886728 5887884 g3
01 1 5887979 5893725 g7
01 1 5894053 5900571 g3
01 1 5901045 5937015 g7
01 1 5937060 5937614 g3
01 1 5937708 5939395 g7
01 1 5939615 5939615 g3
01 1 5939661 5949009 g7
01 1 5949125 7705232 g3
01 1 7705272 7719777 g7
01 1 7719798 7719798 g3
01 1 7719816 7855310 g7
01 1 7855377 8035909 g3
01 1 8035948 8036737 g7
01 1 8036760 12662189 g3
01 1 12662251 12662353 g7
01 1 12662383 29070452 g3
02 0 1 17140990 g6
02 0 17143293 17613503 g7
02 0 17613506 17614405 g5
02 0 17614916 17721737 g7
02 0 17721752 18095566 g5
02 0 18095669 19668227 g7
02 0 19668242 19827459 g5
02 0 19843716 19846470 g7
02 0 19846542 19846596 g5
02 0 19856434 20912871 g7
02 0 20914631 21031543 g3
02 0 21031567 21089133 g7
02 0 21089269 22171762 g3
02 0 22171793 22224246 g7
02 0 22224258 22245998 g3
02 0 22246139 22814315 g7
02 0 22814382 22816883 g3
02 0 22816889 22817839 g7
02 0 22817911 22899554 g3
02 0 22901188 22906133 g7
02 0 22906165 22950610 g3
02 0 22951163 22968387 g7
02 0 22968424 23283055 g3
02 0 23283059 23283428 g7
02 0 23315926 23419175 g3
02 0 23419217 23421088 g7
02 0 23421120 23522426 g3
02 0 23522490 24047599 g7
02 0 24047614 28196577 g4
02 0 28196834 28781560 g7
02 0 28781605 28835563 g6
02 0 28835576 28835752 g7
02 0 28835818 28846301 g6
02 0 28846329 28846367 g7
02 0 28846389 28846488 g6
02 0 28847019 28847077 g7
02 0 28847101 29511734 g6
02 1 1 14721532 g7
02 1 14721579 14721898 g5
02 1 14721919 15012660 g7
02 1 15012722 15013024 g5
02 1 15013027 15013027 g7
02 1 15013048 15013048 g5
02 1 15013233 15015428 g7
02 1 15015446 15032769 g5
02 1 15032807 15063416 g7
02 1 15063565 15073419 g5
02 1 15075493 15083488 g7
02 1 15083503 15099146 g5
02 1 15099161 15101691 g7
02 1 15101757 15110291 g5
02 1 15110294 15113410 g7
02 1 15113418 15125648 g5
02 1 15125723 15137201 g7
02 1 15137223 15138296 g5
02 1 15138414 17103471 g7
02 1 17103477 17103523 g3
02 1 17103562 17139341 g7
02 1 17139430 17150150 g3
02 1 17150248 17474876 g7
02 1 17474882 19725029 g3
02 1 19725066 20393832 g7
02 1 20394108 28742861 g4
02 1 28742911 29511734 g7
03 0 1 31292631 g6
03 0 31295311 31297571 g7
03 0 31300549 32299684 g6
03 0 32299790 32300847 g7
03 0 32300913 32346565 g6
03 0 32347524 33960525 g7
03 0 33960805 33960805 g3
03 0 34009075 34009336 g7
03 0 34009348 34056934 g3
03 0 34056964 34102927 g7
03 0 34102936 34117513 g3
03 0 34117558 34117558 g7
03 0 34131797 34132706 g3
03 0 34132995 34184590 g7
03 0 34184647 34184647 g3
03 0 34186034 35020413 g7
03 1 1 866076 g4
