chr	haplotype	start	end	ancestral_group
01 0 1 29070452 group4
01 1 1 29070452 group4
02 0 1 29511734 group4
02 1 1 29511734 group4
03 0 1 35020413 group4
03 1 1 35020413 group4
04 0 1 37105743 group4
04 1 1 30778568 group4
04 1 30783453 30793995 undefined
04 1 30794004 31259318 group6
04 1 31261382 37105743 group4
05 0 1 41853232 group4
05 1 1 41853232 group4
06 0 1 37593364 group4
06 1 1 37593364 group4
07 0 1 35028021 group4
07 1 1 35028021 group4
08 0 1 44889171 group4
08 1 1 44889171 group4
09 0 1 41306725 group4
09 1 1 41306725 group4
10 0 1 37674811 group4
10 1 1 37674811 group4
11 0 1 27954350 group4
11 1 1 27954350 group4
