chr	haplotype	start	end	ancestral_group
01 0 1 28800000 P
01 1 1 28800000 P
02 0 1 29100000 P
02 0 29200001 35200000 P
02 0 35400001 36200000 P
02 1 1 29100000 P
02 1 29200001 35200000 P
02 1 35400001 36200000 P
03 0 1 51003500 P
03 1 1 51003500 P
04 0 1 3900000 P
04 0 5600001 25500000 P
04 1 1 3900000 P
04 1 5600001 25500000 P
05 0 1 43100000 P
05 1 1 43100000 P
06 0 1 25400000 P
06 1 1 25400000 P
07 0 1 20500000 P
07 1 1 20500000 P
08 0 1 4500000 P
08 0 5000001 20200000 P
08 0 20300001 24700000 P
08 1 1 4500000 P
08 1 5000001 20200000 P
08 1 20300001 24700000 P
09 0 1 31200000 P
09 1 1 31200000 P
