chr	haplotype	start	end	ancestral_group
01 0 1 29070452 g3
01 1 1 29070452 g6
02 0 1 29511734 g3
02 1 1 29511734 g6
03 0 1 35020413 g3
03 1 1 35020413 g6
04 0 1 37105743 g3
04 1 1 37105743 g6
05 0 1 41853232 g3
05 1 1 41853232 g6
06 0 1 37593364 g3
06 1 1 37593364 g6
07 0 1 35028021 g3
07 1 1 35028021 g6
08 0 1 44889171 g3
08 1 1 38800000 g6
08 1 38800001 44889171 g3
09 0 1 41306725 g3
09 1 1 2200000 g6
09 1 2200001 4650000 g3
09 1 4650001 41306725 g6
10 0 1 37674811 g3
10 1 1 37674811 g6
11 0 1 27954350 g3
11 1 1 27954350 g6
