chr	haplotype	start	end	ancestral_group
01 0 1 28800000 P
01 1 1 28800000 P
02 0 1 29100000 P
02 0 29200001 35200000 P
02 0 35400001 36200000 P
02 1 1 29100000 P
02 1 29200001 35200000 P
02 1 35400001 36200000 P
03 0 1 43100000 P
03 0 43200001 44800000 P
03 0 45200001 49200000 P
03 0 49500001 51003500 P
03 1 1 43100000 P
03 1 43200001 44800000 P
03 1 45200001 49200000 P
03 1 49500001 51003500 P
04 0 1 1000000 P
04 0 1400001 25500000 P
04 1 1 1000000 P
04 1 1400001 25500000 P
05 0 1 43100000 P
05 1 1 43100000 P
06 0 1 25400000 P
06 1 1 25400000 P
07 0 1 20500000 P
07 1 1 20500000 P
08 0 1 24700000 P
08 1 1 24700000 P
09 0 1 4100000 P
09 0 4200001 31200000 P
09 1 1 4100000 P
09 1 4200001 31200000 P
