chr	haplotype	start	end	ancestral_group
01 0 1 27100000 M
01 0 27100001 27300000 C
01 0 27300001 28800000 M
01 1 1 27300000 M
01 1 27300001 28800000 P
02 0 1 10700000 M
02 0 11200001 22800000 M
02 0 23400001 29100000 M
02 0 29200001 34100000 M
02 1 1 10700000 M
02 1 11200001 22800000 P
02 1 23400001 29100000 M
02 1 29200001 34100000 M
03 0 3300001 20300000 M
03 0 20900001 27200000 M
03 0 29100001 29500000 M
03 0 30500001 38000000 M
03 0 39100001 46200000 M
03 0 46600001 51000000 M
03 1 3300001 20300000 P
03 1 20900001 27200000 P
03 1 29100001 29500000 P
03 1 30500001 38000000 P
03 1 39100001 46200000 P
03 1 46600001 51000000 M
04 0 1 3900000 M
04 0 5600001 25588944 M
04 1 1 3900000 M
04 1 5600001 25588944 M
05 0 1 8600000 M
05 0 11400001 17100000 M
05 0 17200001 32600000 M
05 0 33800001 43100000 M
05 1 1 8600000 M
05 1 11400001 17100000 P
05 1 17200001 32600000 M
05 1 33800001 43100000 P
06 0 12700001 18500000 M
06 1 12700001 18500000 M
07 0 1 3600000 M
07 0 4300001 20500000 M
07 1 1 3600000 P
07 1 4300001 20500000 P
08 0 22400001 23800000 M
08 0 24000001 25000000 M
08 1 22400001 23800000 P
08 1 24000001 25000000 M
09 0 1000001 9500000 M
09 0 12000001 14300000 M
09 0 14700001 30700000 M
09 0 30900001 31000000 M
09 1 1000001 9500000 M
09 1 12000001 14300000 P
09 1 14700001 30700000 M
09 1 30900001 31000000 M
