chr	haplotype	start	end	ancestral_group
01 0 1 28800000 C
01 1 1 28800000 P
02 0 1 600000 C
02 0 3000001 4200000 M
02 0 4200001 10500000 C
02 0 10800001 35200000 C
02 1 1 600000 P
02 1 3000001 10500000 P
02 1 10800001 35200000 P
03 0 6300001 6800000 P
03 0 8000001 20300000 M
03 0 20900001 25700000 M
03 0 29500001 34300000 M
03 0 35400001 37500000 C
03 0 37700001 51000000 C
03 1 6300001 6800000 P
03 1 8000001 20300000 P
03 1 20900001 25700000 P
03 1 29500001 34300000 P
03 1 35400001 37500000 M
03 1 37700001 51000000 M
04 0 1 1000000 C
04 0 1400001 1600000 C
04 0 2400001 3400000 C
04 0 3400001 3900000 M
04 0 5600001 14400000 M
04 0 14600001 15100000 P
04 0 16000001 19900000 P
04 0 20400001 25500000 C
04 1 1 1000000 P
04 1 1400001 1600000 P
04 1 2400001 3400000 M
04 1 3400001 3900000 P
04 1 5600001 14400000 P
04 1 14600001 15100000 P
04 1 16000001 19900000 P
04 1 20400001 25500000 P
05 0 1 11400000 C
05 0 13300001 18200000 M
05 0 19200001 36200000 C
05 0 37300001 43100000 M
05 1 1 11400000 P
05 1 13300001 18200000 P
05 1 19200001 36200000 P
05 1 37300001 43100000 P
06 0 1 2100000 C
06 0 2600001 3400000 M
06 0 3900001 18500000 C
06 0 20300001 20400000 C
06 0 20500001 20800000 C
06 0 22700001 22900000 P
06 1 1 2100000 M
06 1 2600001 3400000 P
06 1 3900001 18500000 M
06 1 20300001 20400000 P
06 1 20500001 20800000 P
06 1 22700001 22900000 P
07 0 1 3600000 M
07 0 5000001 14300000 M
07 0 16000001 18400000 M
07 0 19600001 20500000 P
07 1 1 3600000 M
07 1 5000001 14300000 P
07 1 16000001 18400000 P
07 1 19600001 20500000 P
08 0 1 6900000 C
08 0 7000001 20300000 C
08 0 22000001 22400000 M
08 0 22900001 23400000 Mic
08 0 24200001 24300000 C
08 1 1 6900000 M
08 1 7000001 20300000 M
08 1 22000001 22400000 P
08 1 22900001 23400000 P
08 1 24200001 24300000 P
09 0 1 2000000 C
09 0 2300001 3900000 C
09 0 4000001 9500000 M
09 0 10400001 14500000 C
09 0 14700001 23500000 M
09 0 23700001 31000000 M
09 1 1 2000000 M
09 1 2300001 3900000 P
09 1 4000001 9500000 P
09 1 10400001 14500000 M
09 1 14700001 23500000 P
09 1 23700001 31000000 P
