chr	haplotype	start	end	ancestral_group
01 0 1 29070452 g4
01 1 1 3749279 g4
01 1 3749300 3749300 g7
01 1 3750823 3750823 g4
01 1 3750872 3897065 g7
01 1 3897078 4676908 g6
01 1 4683536 4685541 g7
01 1 4690787 4692371 g6
01 1 4692377 4694929 g7
01 1 4694951 4695399 g6
01 1 4695525 5141074 g7
01 1 5141212 5532893 g6
01 1 5532953 5545111 g7
01 1 5546390 5573055 g6
01 1 5573109 5573151 g7
01 1 5573160 6869459 g6
01 1 6869614 7174038 g7
01 1 7175181 7239061 g6
01 1 7239286 7242694 g7
01 1 7242720 7424643 g6
01 1 7424647 7424715 g7
01 1 7424745 7425025 g6
01 1 7425046 7429946 g7
01 1 7429957 7544761 g6
01 1 7544764 7558192 g7
01 1 7558943 8961746 g6
01 1 8961755 8975434 g7
01 1 8975485 14496831 g6
01 1 14496853 14496945 g7
01 1 14496973 14531222 g6
01 1 14531266 14531281 g7
01 1 14534030 14676222 g6
01 1 14676291 14727121 g7
01 1 14727173 14772274 g6
01 1 14772289 14772541 g7
01 1 14772551 14775260 g6
01 1 14777447 15307686 g7
01 1 15307740 15308417 g6
01 1 15308441 15309566 g7
01 1 15309609 15328487 g6
01 1 15328657 15328657 g7
01 1 15328792 29070452 g6
02 0 1 29511734 g4
02 1 1 14765172 g6
02 1 15012660 15065333 g7
02 1 15065391 15066278 g6
02 1 15066296 15138173 g7
02 1 15138233 15143235 g6
02 1 15143317 15406155 g7
02 1 15406345 15414108 g6
02 1 15414123 15414186 g7
02 1 15414270 15439071 g6
02 1 15441119 15723329 g7
02 1 15723376 15723509 g6
02 1 15723605 15836063 g7
02 1 15836066 15841026 g6
02 1 15841029 15860751 g7
02 1 15860778 18054522 g6
02 1 18054624 18054739 g7
02 1 18054748 18137542 g6
02 1 18137710 18139580 g7
02 1 18139610 18139610 g6
02 1 18140753 18146563 g7
02 1 18146578 19687827 g6
02 1 19687847 19689849 g7
02 1 19689910 19697679 g6
02 1 19697714 19697714 g7
02 1 19697807 19697853 g6
02 1 19698038 19698038 g7
02 1 19698155 22172822 g6
02 1 22206319 22225731 g7
02 1 22225809 22255563 g6
02 1 22255581 22402077 g7
02 1 22404900 23460870 g6
02 1 23460976 23464228 g7
02 1 23464258 23464258 g6
02 1 23464276 23464486 g7
02 1 23464493 23509918 g6
02 1 23511663 24505209 g7
02 1 24505236 24505355 g6
02 1 24505374 24505374 g7
02 1 24505497 24505782 g6
02 1 24505802 24615020 g7
02 1 24615034 25908366 g6
02 1 25908438 26214958 g7
02 1 26215007 26215783 g6
02 1 26215892 26215892 g7
02 1 26215925 26311014 g6
02 1 26311164 26311176 g7
02 1 26311654 26390335 g6
02 1 26390364 26390364 g7
02 1 26390412 26390563 g6
02 1 26390616 26484469 g7
02 1 26486590 26486679 g6
02 1 26489117 26725865 g7
02 1 26726134 26726134 g6
02 1 26726498 26755220 g7
02 1 26755285 27174845 g6
02 1 27174872 27220106 g7
02 1 27222015 27288257 g6
02 1 27288299 27288515 g7
02 1 27288528 27290505 g6
02 1 27290514 27988649 g7
02 1 27988669 28009161 g6
02 1 28009171 28014408 g7
02 1 28014420 28014420 g6
02 1 28031551 28196310 g7
02 1 28196333 29511734 g6
03 0 1 7007831 g4
03 0 7010285 7995397 g7
03 0 7995507 35020413 g4
03 1 1 2596111 g6
03 1 2603128 2658045 g7
03 1 2658054 6652891 g6
03 1 6655789 6659083 g7
03 1 6659089 6976101 g6
03 1 6976143 7229590 g7
03 1 7229681 7229768 g6
03 1 7269039 7270984 g7
03 1 7275696 7275736 g6
03 1 7275763 7282226 g7
03 1 7282417 7354370 g6
03 1 7354376 7354581 g7
03 1 7357154 7911025 g6
03 1 7911046 8063451 g7
03 1 8063462 8063472 g6
03 1 8063478 8073987 g7
03 1 8074044 8074107 g6
03 1 8074110 8078115 g7
03 1 8078128 8889667 g6
03 1 8890165 9038314 g7
03 1 9038318 24430404 g6
03 1 24430417 24664543 g7
03 1 24664573 24763324 g6
03 1 24763390 24812154 g7
03 1 24812178 24812178 g6
03 1 24812182 25485077 g7
03 1 25485087 25634113 g6
03 1 25634220 27751526 g7
03 1 27751550 27827554 g6
03 1 27827581 27827632 g7
03 1 27839116 28143692 g6
03 1 28143859 28146164 g7
03 1 28146168 28165365 g6
03 1 28165762 28199206 g7
03 1 28199309 29243790 g6
03 1 29243802 29307954 g7
03 1 29307967 29337325 g6
03 1 29337338 29431091 g7
03 1 29434236 29434623 g6
03 1 29434663 29434663 g7
03 1 29434706 29535893 g6
03 1 29536067 29540122 g7
03 1 29540252 29574406 g6
03 1 29575682 29581430 g7
