chr	haplotype	start	end	ancestral_group
01 0 1 9278701 g3
01 0 9279586 9352373 g7
01 0 9352380 29070452 g3
01 1 1 9032956 g3
01 1 9032971 9278701 g4
01 1 9279586 9352373 g7
01 1 9352380 9883589 g4
01 1 9883912 29070452 g3
02 0 1 29511734 g3
02 1 1 29511734 g3
03 0 1 35020413 g3
03 1 1 35020413 g3
04 0 1 37105743 g3
04 1 1 37105743 g3
05 0 1 41853232 g3
05 1 1 41853232 g3
06 0 1 37593364 g3
06 1 1 37593364 g3
07 0 1 35028021 g3
07 1 1 35028021 g3
08 0 1 44889171 g3
08 1 1 44889171 g3
09 0 1 41306725 g3
09 1 1 41306725 g3
10 0 1 37674811 g3
10 1 1 37674811 g3
11 0 1 27954350 g3
11 1 1 27954350 g3
