chr	haplotype	start	end	ancestral_group
01 0 1 13100000 C
01 0 13900001 27300000 C
01 0 27900001 28800000 C
01 1 1 13100000 M
01 1 13900001 27300000 M
01 1 27900001 28800000 P
02 0 1 600000 C
02 0 4200001 9100000 C
02 0 9200001 10500000 C
02 0 10800001 13500000 C
02 0 14500001 27600000 C
02 0 28100001 29100000 C
02 0 29200001 29800000 C
02 0 29900001 34100000 C
02 0 36200001 36300000 C
02 1 1 600000 M
02 1 4200001 9100000 M
02 1 9200001 10500000 P
02 1 10800001 13500000 P
02 1 14500001 27600000 P
02 1 28100001 29100000 M
02 1 29200001 29800000 M
02 1 29900001 34100000 M
02 1 36200001 36300000 C
03 0 3300001 12800000 C
03 0 14100001 34700000 C
03 0 35400001 37500000 C
03 0 37700001 51000000 C
03 1 3300001 12800000 P
03 1 14100001 34700000 P
03 1 35400001 37500000 M
03 1 37700001 51000000 M
04 0 1 1000000 C
04 0 1400001 3900000 C
04 0 5600001 15100000 C
04 0 16000001 21000000 C
04 0 21500001 25588944 C
04 1 1 1000000 P
04 1 1400001 3900000 P
04 1 5600001 15100000 P
04 1 16000001 21000000 P
04 1 21500001 21700000 P
04 1 21700001 25588944 M
05 0 1 37300000 C
05 0 37700001 42200000 C
05 0 42500001 43289288 C
05 1 1 37300000 P
05 1 37700001 42200000 M
05 1 42500001 43289288 M
06 0 2100001 3400000 C
06 0 8300001 18500000 C
06 0 18800001 25400000 C
06 1 2100001 3400000 P
06 1 8300001 18500000 M
06 1 18800001 25400000 P
07 0 1 3600000 C
07 0 3800001 15100000 C
07 0 16700001 20500000 C
07 1 1 3600000 M
07 1 3800001 15100000 M
07 1 16700001 20500000 P
08 0 1 22400000 C
08 0 23500001 24700000 C
08 1 1 22400000 M
08 1 23500001 24700000 P
09 0 1 3500000 C
09 0 3700001 31000000 C
09 1 1 3500000 M
09 1 3700001 31000000 M
