chr	haplotype	start	end	ancestral_group
01 0 1 10928366 g4
01 0 10928403 11314991 g7
01 0 11315153 13217473 g5
01 0 13217516 13227819 g7
01 0 13229404 13230224 g5
01 0 13230242 15308793 g7
01 0 15308839 15309000 g3
01 0 15309009 15309255 g7
01 0 15309279 15324451 g3
01 0 15324458 16524320 g7
01 0 16524472 29070452 g3
01 1 1 2067956 g4
01 1 2072779 2074229 g7
01 1 2074238 2074267 g4
01 1 2076515 2123700 g7
01 1 2123720 2391418 g4
01 1 2391505 2391893 g7
01 1 2391965 2392160 g4
01 1 2392217 2448551 g7
01 1 2448624 6403966 g4
01 1 6404017 6557073 g7
01 1 6557118 6750310 g3
01 1 6750446 6750742 g7
01 1 6750749 6927927 g3
01 1 6927943 7871689 g7
01 1 7871713 10739233 g3
01 1 10739332 11174932 g7
01 1 11174942 11878947 g6
01 1 11879728 11961781 g7
01 1 11961789 29070452 g4
02 0 1 16457384 g6
02 0 16457455 17484724 g7
02 0 17484757 17674157 g5
02 0 17674172 17720388 g7
02 0 17720446 17931656 g5
02 0 17931661 17978839 g7
02 0 17978845 17979960 g5
02 0 17979966 17980815 g7
02 0 17980827 17981910 g5
02 0 17982006 18054359 g7
02 0 18054522 18054736 g5
02 0 18054739 18068865 g7
02 0 18069090 18072214 g5
02 0 18072241 18073587 g7
02 0 18073605 18095566 g5
02 0 18095669 19689849 g7
02 0 19689910 19697679 g5
02 0 19697714 19697714 g7
02 0 19697807 19697807 g5
02 0 19697853 20667056 g7
02 0 20694023 20749991 g5
02 0 20805545 20861391 g7
02 0 20861476 20875704 g5
02 0 20885793 20924079 g7
02 0 20925495 21028787 g5
02 0 21031302 21085106 g7
02 0 21085114 21085114 g5
02 0 21085159 23397682 g7
02 0 23397731 23397731 g5
02 0 23398293 23398314 g7
02 0 23399137 23399890 g5
02 0 23399926 23400107 g7
02 0 23400999 23415663 g5
02 0 23415685 23949978 g7
02 0 23949999 24849564 g4
02 0 24849607 25107338 g7
02 0 25107346 29511734 g6
02 1 1 14721532 g7
02 1 14721579 14721898 g5
