chr	haplotype	start	end	ancestral_group
01 0 1 3780008 g6
01 0 3780047 3786589 g7
01 0 3788563 4759003 g6
01 0 4759031 4846672 g7
01 0 4846871 4875420 g6
01 0 4875434 4989834 g7
01 0 4989921 4991543 g6
01 0 4991561 5141074 g7
01 0 5141212 12444410 g6
01 0 12444436 12543178 g7
01 0 12543214 12854925 g6
01 0 12854973 12856024 g7
01 0 12856072 29070452 g6
01 1 1 10652166 g4
01 1 10652195 10746216 g7
01 1 10746240 11611354 g6
01 1 11611357 11642719 g7
01 1 11642731 29070452 g4
02 0 1 15359091 g6
02 0 15359107 15361583 g7
02 0 15361592 15414108 g6
02 0 15414123 15414186 g7
02 0 15414270 15437291 g6
02 0 15437346 16031464 g7
02 0 16031633 27178378 g4
02 0 27178389 27219124 g3
02 0 27219702 27290494 g4
02 0 27290505 28778629 g3
02 0 28778817 28846329 g4
02 0 28846335 28846422 g7
02 0 28846488 29511734 g4
02 1 1 14721532 g7
02 1 14721579 14721898 g5
02 1 14721919 15012660 g7
02 1 15012722 15013024 g5
02 1 15013027 15013027 g7
02 1 15013048 15013048 g5
02 1 15013233 15015428 g7
02 1 15015446 15032769 g5
02 1 15032807 15063416 g7
02 1 15063565 15073419 g5
02 1 15075493 15083488 g7
02 1 15083503 15083548 g5
02 1 15084689 15371769 g7
02 1 15390474 28846329 g4
02 1 28846335 28846422 g7
02 1 28846488 29511734 g4
03 0 1 7269039 g4
03 0 7270054 7361120 g7
03 0 7361238 7361384 g4
03 0 7361428 7372606 g7
03 0 7372622 7563720 g4
03 0 7563732 7563732 g7
03 0 7563745 7564847 g4
03 0 7564895 7565069 g7
03 0 7565083 7565358 g4
03 0 7565501 7803760 g7
03 0 7803803 24602263 g4
03 0 24603476 24672720 g7
03 0 24672726 24677077 g4
03 0 24677086 24722657 g7
03 0 24722851 24725715 g4
03 0 24728124 24728283 g7
03 0 24728327 24740941 g4
03 0 24741083 24756056 g7
03 0 24756093 24756255 g4
03 0 24756285 24801241 g7
03 0 24801263 24898411 g4
03 0 24898465 24898465 g7
03 0 24898621 24939434 g4
03 0 24939493 24976120 g7
03 0 24976292 24976731 g4
03 0 24976756 25050374 g7
03 0 25051459 25051638 g4
03 0 25058839 25059058 g7
03 0 25059067 25064394 g4
03 0 25066760 26198384 g7
03 0 26198516 26890386 g4
03 0 26944943 26945053 g7
03 0 26945069 26946793 g4
03 0 26963127 28981386 g7
03 0 28981441 28995336 g4
03 0 28995342 28996129 g7
03 0 28996234 30456761 g4
03 0 30470936 30472018 g7
03 0 30472023 30474590 g4
03 0 30504928 30520163 g7
03 0 30520339 30538674 g4
03 0 30538864 30651245 g7
03 0 30651257 30682501 g4
03 0 30682666 30682666 g7
03 0 30682706 30685000 g4
03 0 30685089 30687749 g7
03 0 30687752 30688890 g4
03 0 30689052 30704412 g7
03 0 30704420 30704563 g4
03 0 30704578 30704578 g7
03 0 30704593 30704593 g4
03 0 30704644 30710458 g7
03 0 30710473 30710688 g4
03 0 30710710 31220488 g7
03 0 31220505 31235440 g6
03 0 31235453 31287543 g7
03 0 31287656 35020413 g6
03 1 1 33737436 g4
03 1 33740434 34490148 g7
03 1 34490184 35020413 g4
04 0 1 7485508 g4
04 0 7485536 7488096 g7
04 0 7488119 7488317 g4
04 0 7488321 7488594 g7
04 0 7488597 7666327 g4
04 0 7686233 7686233 g7
04 0 7686240 7687773 g4
04 0 7688085 7775789 g7
04 0 7775821 7775852 g4
04 0 7775873 7780622 g7
04 0 7780655 7780655 g4
04 0 7780670 7800365 g7
04 0 7800370 7804888 g4
04 0 7805023 7805023 g7
04 0 7805084 7860788 g4
04 0 7877890 7878046 g7
04 0 7878057 11101446 g4
04 0 11101481 11101481 g7
04 0 11101549 11525360 g4
04 0 11525364 15604205 g7
04 0 15604210 15610043 g4
04 0 15785674 15907705 g7
04 0 15907729 15907783 g4
04 0 15907938 17174673 g7
04 0 17174676 17230762 g4
04 0 17230793 17264234 g7
04 0 17277498 37105743 g4
04 1 1 546651 g7
04 1 546871 566881 g5
04 1 566887 1094197 g7
04 1 1094206 1094950 g5
04 1 1095027 1961381 g7
04 1 1961387 1983961 g3
04 1 1984000 2005705 g7
04 1 2005838 2039814 g3
04 1 2039827 2104160 g7
04 1 2104170 2104170 g3
04 1 2104233 2104434 g7
04 1 2104452 2164287 g3
04 1 2172551 2172654 g7
04 1 2172658 2370722 g3
04 1 2370726 2370759 g7
04 1 2370774 2370786 g3
04 1 2370798 2370980 g7
04 1 2370987 2589070 g3
04 1 2591768 3720686 g7
04 1 3720706 3747381 g5
04 1 3747415 3747557 g7
04 1 3747725 3991145 g5
04 1 3992231 3994749 g7
04 1 3994758 4003241 g5
04 1 4003443 4005922 g7
04 1 4005940 4130795 g5
04 1 4130812 4255691 g7
04 1 4256268 4261892 g5
04 1 4261903 4426798 g7
04 1 4426944 4519013 g5
04 1 4519043 5713437 g7
04 1 5713458 5713458 g5
04 1 5713464 5849587 g7
04 1 5849652 5948942 g5
04 1 5948952 5948952 g7
04 1 5949004 6025859 g5
04 1 6025871 6026285 g7
04 1 6056488 6065847 g5
04 1 6065853 6235574 g7
04 1 6235610 6235946 g5
04 1 6235952 6237383 g7
04 1 6237938 6239506 g5
04 1 6239510 6239510 g7
04 1 6239548 6244557 g5
04 1 6244780 6244780 g7
04 1 6244798 6244967 g5
04 1 6244974 10292816 g7
04 1 10292828 10908518 g6
04 1 10912627 10912947 g7
04 1 10912958 10914524 g6
04 1 10914690 10915103 g7
04 1 10915176 11099849 g6
04 1 11099920 11112000 g7
04 1 11112125 11112196 g6
04 1 11141310 11141383 g7
04 1 11142437 11199265 g6
04 1 11203266 11275101 g7
04 1 11275104 11327816 g6
04 1 11328188 11525218 g7
04 1 11525350 11525390 g6
04 1 11525440 12012517 g7
04 1 12012532 12072932 g6
04 1 12074085 12092302 g7
04 1 12092356 14675583 g6
04 1 14675637 14675691 g7
04 1 14675759 14675759 g6
04 1 14675779 14920253 g7
04 1 14920283 14934890 g6
04 1 14935123 15049691 g7
04 1 15050268 16038751 g6
04 1 16039563 16039668 g7
04 1 16041849 17230647 g6
04 1 17230659 17429484 g7
04 1 17429572 25436968 g6
04 1 25475167 25512627 g7
04 1 25512766 25594065 g6
04 1 25594302 25617875 g7
04 1 25617884 25745354 g6
04 1 25745366 25813496 g7
04 1 25813499 25838664 g6
04 1 25838694 25879785 g7
04 1 25879843 25902663 g6
04 1 25902675 25945890 g7
04 1 25956682 27593760 g6
04 1 27593766 28108430 g7
04 1 28109689 28111061 g6
04 1 28111093 28111093 g7
04 1 28111190 33524810 g6
04 1 33526331 33527403 g7
04 1 33527431 33527468 g6
04 1 33527473 36063577 g7
04 1 36063592 36107060 g6
04 1 36107075 36224179 g7
04 1 36224227 37105743 g6
05 0 1 8678846 g4
05 0 8678984 8679494 g7
05 0 8679507 8679507 g4
05 0 8679513 8679794 g7
05 0 8679902 8679959 g4
05 0 8679962 8679962 g7
05 0 8679976 8681165 g4
05 0 8681268 8681445 g7
05 0 8681462 8684941 g4
05 0 8689842 9612385 g7
05 0 9690423 9694425 g4
05 0 9694429 9713044 g7
05 0 9826071 34707709 g4
05 0 34709478 34714770 g7
05 0 34721838 34723728 g4
05 0 34723897 34723897 g7
05 0 34723936 34724198 g4
05 0 34724326 34724561 g7
05 0 34724657 34731385 g4
05 0 35084575 36341103 g7
05 0 36341487 37875528 g6
05 0 37875610 37876253 g7
05 0 37876362 37880582 g6
05 0 37880616 37882032 g7
05 0 37882066 37898335 g6
