chr	haplotype	start	end	ancestral_group
01 0 1 3784663 g2
01 0 3784675 3823323 g7
01 0 3823333 29070452 g2
01 1 1 29070452 g2
02 0 1 10079821 g2
02 0 10080469 10082457 g7
02 0 10082745 10612696 g2
02 0 10810207 10810399 g7
02 0 10810447 10810863 g2
02 0 10810969 10811089 g7
02 0 10811143 11597872 g2
02 0 11597889 11894317 g7
02 0 11897723 11935570 g2
02 0 11935788 11943733 g7
02 0 11943741 12941967 g2
02 0 12941983 13017618 g7
02 0 13017651 13017651 g2
02 0 13017705 13017705 g7
02 0 13017756 13097363 g2
02 0 13097384 13130772 g7
02 0 13130861 29511734 g2
02 1 1 29511734 g2
03 0 1 35020413 g2
03 1 1 35020413 g2
04 0 1 1792004 g2
04 0 1815797 1815797 g7
04 0 1817970 1896334 g2
04 0 1896341 1897108 g7
04 0 1897115 3423576 g2
04 0 3423579 3423920 g7
04 0 3423944 37105743 g2
04 1 1 37105743 g2
05 0 1 41853232 g2
05 1 1 35405907 g2
05 1 35408210 35408377 g7
05 1 35408579 35435338 g2
05 1 35435345 35485943 g7
05 1 35486080 37656261 g2
05 1 37658243 37805147 g7
05 1 37805171 37805760 g2
05 1 37805780 37805879 g7
05 1 37805907 37807550 g2
05 1 37807553 37807553 g7
05 1 37809326 37817542 g2
05 1 37817612 37836614 g7
05 1 37837296 41853232 g2
06 0 1 35640548 g2
06 0 35640564 35641164 g7
06 0 35641571 35641673 g2
06 0 35642261 35657057 g7
06 0 35657780 35711199 g2
06 0 35711274 35720993 g7
06 0 35721134 35721242 g2
06 0 35721290 35729635 g7
06 0 35729641 35759236 g2
06 0 35762075 35808432 g7
06 0 35808523 37593364 g2
06 1 1 37593364 g2
07 0 1 35028021 g2
07 1 1 4775868 g2
07 1 4775874 4781499 g7
07 1 4782731 4951690 g2
07 1 4951801 5044321 g7
07 1 5044349 5392077 g2
07 1 5392121 5455830 g7
07 1 5456623 11417127 g2
07 1 11417135 11566859 g7
07 1 11566862 11566972 g2
07 1 11566981 11572260 g7
07 1 11572377 11854159 g2
07 1 11854271 11854271 g7
07 1 11854335 11864967 g2
07 1 11865063 11866090 g7
07 1 11866148 12030460 g2
07 1 12030505 12030505 g7
07 1 12030552 12030552 g2
07 1 12030763 12030763 g7
07 1 12031303 12031521 g2
07 1 12031525 12031525 g7
07 1 12031726 35028021 g2
08 0 1 44889171 g2
08 1 1 44889171 g2
09 0 1 41306725 g2
09 1 1 41306725 g2
10 0 1 30529170 g2
10 0 30529476 30529476 g7
10 0 30529558 30761428 g2
10 0 30761574 30761913 g7
10 0 30761927 30841154 g2
10 0 30841182 30859836 g7
10 0 30860009 30933701 g2
10 0 30933722 30933797 g7
10 0 30933839 37674811 g2
10 1 1 37674811 g2
11 0 1 27954350 g2
11 1 1 4390819 g2
11 1 4390917 4390917 g7
11 1 4390970 4391025 g2
11 1 4391043 4672572 g7
11 1 4672582 6584163 g2
11 1 6584169 6683375 g7
11 1 6683378 27954350 g2
