chr	start	end	AA	BB
chr01	20888	548563	0.528548833462253	0.4864643849698027
chr01	558457	811010	0.5087911522351798	0.49604462538047617
chr01	823679	1271156	0.5029385148601795	0.5144668743592802
chr01	1271180	1604937	0.4555335526173379	0.5264691184759163
chr01	1611989	1763653	0.5024300096644109	0.5574654173310237
chr01	1763688	2353041	0.471950655391821	0.5269359913182224
chr01	2379408	2781692	0.4818293134796112	0.4303959674567324
chr01	2789872	3197933	0.5527120673843273	0.44313464469030805
chr01	3220983	3649713	0.5280092879951752	0.45043659939357794
chr01	3732616	4262752	0.5165794206679755	0.5320038374247283
chr01	4262755	4848376	0.4831517660895898	0.49316995526096374
chr01	4892524	5436075	0.5723368544993634	0.3808380405515332
chr01	5544824	5954257	0.46731774099107753	0.5300809516984138
chr01	5966875	6310749	0.48462696159547164	0.5218970555363976
chr01	6351058	6834944	0.5218722315753573	0.49031198366342454
chr01	6834959	7256420	0.5483239054205384	0.4478066656360937
chr01	7288591	7976873	0.5302564847005176	0.47805798317800174
chr01	7976894	8326592	0.47614291941395465	0.5312464460020043
chr01	8326595	8811487	0.5491937128367494	0.44124535772756535
chr01	8811528	9327226	0.519692387027026	0.5003164900422803
chr01	9327262	9771491	0.5384752927580502	0.48183676526985747
chr01	9801549	10042817	0.49457063333472817	0.5194846322629331
chr01	10059183	10275541	0.5556482165230756	0.44797705103233904
chr01	10275565	10825009	0.4768250592142465	0.48088142902498376
chr01	10825032	11039827	0.4907138305678066	0.4770949627557247
chr01	11086147	11648761	0.4545519182781664	0.5530844652091718
chr01	11648798	12314086	0.5432061279960867	0.45517790794765345
chr01	12319722	12680831	0.49644935076555796	0.5105778048541838
chr01	12680868	13458783	0.44509533822963887	0.6083052828494679
chr01	13458798	14088127	0.4969810550086942	0.5132336677850072
chr01	14217541	14722046	0.5439384905126096	0.41147671102674704
chr01	14722083	16455954	0.4848578778372331	0.5084189155573375
chr01	16455973	18924644	0.5122025973858569	0.47577555827520274
chr01	18970639	20312492	0.5402669678272377	0.47105115654994667
chr01	20312496	21238227	0.48114075927975186	0.5312296115003042
chr01	21238230	23909255	0.4448051466167059	0.5377859292453662
chr01	24013545	25813879	0.46635840555227964	0.5004931845506008
chr01	25813882	26563977	0.5398711372396704	0.4693604052629425
chr01	26563987	28733184	0.4814514601045499	0.562545049183682
chr01	28733185	28960423	0.419669869232361	0.6226645769802469
chr02	2432380	6345568	0.47067419555715045	0.5037191114334938
chr02	6345572	9289706	0.5358049686927132	0.47761500273573104
chr02	9289714	10061053	0.533791793791707	0.46262274487588184
chr02	10068142	12801349	0.49922164452778756	0.5184479790670463
chr02	12833799	13769724	0.4946697674646668	0.501988156313926
chr02	13792223	14554743	0.4803518081795376	0.5049585345250837
chr02	14554756	15278590	0.5184350289865098	0.4257431519949182
chr02	15278605	15701169	0.5380441626002503	0.45461834311528077
chr02	15701246	16419352	0.621223216143872	0.33984375827120755
chr02	16497582	17019183	0.5200774905699694	0.4685909624994968
chr02	17088957	17492970	0.45349379015224234	0.48188540948843306
chr02	17492991	17862246	0.538355089952596	0.46743112865480935
chr02	17880212	18324555	0.4860070190606794	0.4611563190741608
chr02	18338248	18779392	0.5115417336419555	0.4213985358184175
chr02	18779395	19197535	0.46246357041251107	0.5141673208660503
chr02	19239484	19640785	0.4909835045057316	0.5131085319915615
chr02	19659378	20041599	0.516123833741214	0.4828114218621731
chr02	20058083	20493576	0.5408551922838555	0.4703538099739798
chr02	20542769	20822760	0.4996571541852494	0.5057735148151989
chr02	20828322	21417051	0.4706182229415551	0.5296908387641601
chr02	21439128	21829910	0.484712266705854	0.4724575868763535
chr02	21829931	22320832	0.5579278107829772	0.39945137314225077
chr02	22362567	22858670	0.5340291344581897	0.46479499201523417
chr02	22858682	23212492	0.48773783620531336	0.5229420097104418
chr02	23277631	23658610	0.3982130328426375	0.6269002841786067
chr02	23658814	24116612	0.5386906939430002	0.45210695073706575
chr02	24133608	24618237	0.5128472638733443	0.5005340501375478
chr02	24618249	25005046	0.5127829744528145	0.4855577695358762
chr02	25045924	25567239	0.49032020646981345	0.5061594266991095
chr02	25567243	25881867	0.5258685625313382	0.49908435610973273
chr02	25881888	26155838	0.5571409065474267	0.4091977065880775
chr02	26155845	26667825	0.4687060144520314	0.5443560378429295
chr02	26667850	26998264	0.5936037348608553	0.3642188435625834
chr02	26998275	27329976	0.49586715200077086	0.48788195011113467
chr02	27329987	27667672	0.44132768432495145	0.5268637272173808
chr02	27667681	27919195	0.4996641829833703	0.4385973542845298
chr02	27919233	28540679	0.5214056396576421	0.48888164075773605
chr02	28567833	28914199	0.512002109362774	0.5272316476478036
chr02	29011731	29229512	0.49072207135800094	0.5106980473350949
chr02	29229513	29438438	0.5451063933214931	0.4514219073785242
chr03	108194	509161	0.5125049609163244	0.493199571778681
chr03	509209	853081	0.5195082882021671	0.5114935622508783
chr03	853085	1140580	0.49979639780635043	0.47520790977032856
chr03	1211179	1528651	0.5278220770073442	0.4424929295027326
chr03	1528656	2171194	0.4725148487304194	0.4803453479422663
chr03	2171243	2710158	0.469680261719868	0.5412415233059595
chr03	2710189	3130497	0.5058675905970267	0.5101894037522363
chr03	3130542	3470820	0.5393924669859926	0.4804529707299234
chr03	3482603	4192546	0.5406681777188793	0.4916035743611307
chr03	4208599	4718615	0.4678503026921807	0.5489403557119574
chr03	4739868	5221136	0.4865589138535762	0.504042880830561
chr03	5221182	5799731	0.4762639583017618	0.5018112295717364
chr03	5856880	6665943	0.4718617310546567	0.5218487307467423
chr03	6665968	7105578	0.5200704637814737	0.47018904045587906
chr03	7105586	7912535	0.4719984595854419	0.5343902399572453
chr03	7912583	8541427	0.5121475233600793	0.432852643188085
chr03	8541433	9246675	0.47391278146448484	0.5389907191692453
chr03	9269706	9753020	0.49833235623591565	0.5265261086622745
chr03	9753026	10175672	0.48333988315805326	0.5016047663898789
chr03	10175677	11211849	0.5027878370211464	0.44750949547992536
chr03	11222130	13843494	0.5089079529166717	0.5305554175393892
chr03	13843502	15091660	0.5479599371595834	0.44155009198362966
chr03	15106465	16909198	0.4893157113466292	0.5283415138916667
chr03	16913523	17701423	0.5390618419141613	0.46097917053891924
chr03	17701452	19129000	0.50846340032346	0.505506070596514
chr03	19363525	22755556	0.4778485531856853	0.5043988154046596
chr03	22755575	23523172	0.4700308852370978	0.5432487756244095
chr03	23542395	23850596	0.562325371462038	0.44896029161260986
chr03	23925064	24642099	0.4864299536300291	0.47378916650561387
chr03	24642158	25001216	0.49948602134084596	0.46424126225924833
chr03	25001226	25425946	0.4860200039792761	0.4340154466078475
chr03	25451036	25979956	0.5800618369752724	0.46056224896495546
chr03	25984620	26284654	0.5070597489070411	0.4794806373628522
chr03	26284657	27011371	0.46488688900331343	0.5776855693437328
chr03	27011427	27546990	0.5027028063490507	0.5014890216542697
chr03	27579583	28293222	0.5020638186350707	0.4595699763534687
chr03	28293249	28811357	0.583184621905908	0.41424531896085903
chr03	28848261	29408864	0.4485769871357186	0.48196865874707157
chr03	29408883	29850675	0.5270938417597247	0.4861302446529804
chr03	29855680	30359952	0.4659012119608433	0.4529101905414983
chr03	30368913	30644348	0.5409530943346834	0.46506027599656513
chr03	30737205	31059487	0.4961511496741919	0.5120571494249417
chr03	31059500	31538164	0.42362805862758074	0.6220515265228774
chr03	31569776	32237553	0.4494695937641704	0.5061037440245283
chr03	32238185	32885873	0.5151901862869886	0.5176419575203025
chr03	32891823	33307558	0.4636762629856639	0.5124926738677921
chr03	33307616	33712160	0.49165860251026783	0.5091737104348547
chr03	33718210	34481827	0.4922703795780099	0.5119594302771048
chr03	34481869	34885799	0.53294651308524	0.45439492824622607
chr03	34885800	35001189	0.521754771599448	0.46390135862450244
chr04	60911	491059	0.5000564571100968	0.5080515416326623
chr04	530090	1190268	0.5731645455962278	0.4251820597723344
chr04	1211568	1926357	0.47967597420968267	0.4959309476750108
chr04	1983856	2543678	0.48260056462181505	0.5158556413850688
chr04	2543697	3126258	0.5220623736577283	0.4677776345964128
chr04	3126306	3741115	0.47388462580146007	0.4915703896424896
chr04	3759152	4257151	0.5428303072365896	0.4720882803834892
chr04	4288977	4851456	0.5396362501302185	0.4243124109147299
chr04	4866880	5119971	0.48943324942502375	0.5133524185522271
chr04	5125328	5685301	0.5023824567019012	0.4965878204190008
chr04	5685414	6172708	0.5142309935223459	0.47587666675286755
chr04	6179340	6568753	0.5404195722289572	0.46158116362521545
chr04	6568759	7031521	0.5130251705370906	0.4947304145501333
chr04	7032523	7579399	0.4799295605008519	0.49908628061363747
chr04	7590723	8166794	0.47695039636600434	0.48859645373623317
chr04	8212943	8938035	0.5540035557704588	0.4343796245479342
chr04	8938047	9914934	0.47188621570968786	0.5302887882454393
chr04	9925345	10589854	0.4774543606093235	0.5298173641167679
chr04	10589858	11411005	0.5155056218598851	0.4994679033494452
chr04	11411020	12072606	0.4632109450794424	0.5203126109256992
chr04	13208111	14905966	0.5299184739811214	0.44959204522031526
chr04	14910420	15780362	0.5288713551590194	0.42451792562365925
chr04	15780401	16517629	0.5186864600340882	0.41863224873765387
chr04	16529613	17580290	0.47213994651024355	0.5405774062441719
chr04	17800384	18968868	0.5355078159132117	0.4617859709689315
chr04	18968891	20234515	0.48813583953484235	0.4678185507048954
chr04	20234520	21377722	0.5209346846075754	0.4824005987922281
chr04	21377818	22285077	0.5445736043655721	0.4546963707723355
chr04	22285093	22880208	0.48781499019026076	0.5170973422103866
chr04	22880215	23287368	0.4460732679993561	0.5253451030210865
chr04	23287393	23752154	0.5799821187878283	0.4242638846777801
chr04	23752159	24124680	0.47346106832291696	0.5172945325912536
chr04	24160871	24909243	0.5139394097287063	0.4768267586783661
chr04	24937801	25879572	0.5177486448932841	0.483316303118757
chr04	25879580	26458694	0.551653248631209	0.4182616551635315
chr04	26467382	26891873	0.44392534708371606	0.5676690083296249
