chr	haplotype	start	end	ancestral_group
01 0 1 28916568 C
01 1 1 28916568 C
02 0 1 10500000 C
02 0 10800001 29100000 C
02 0 29200001 36300000 C
02 1 1 10500000 C
02 1 10800001 29100000 C
02 1 29200001 36300000 C
03 0 1 500000 C
03 0 600001 51000000 C
03 1 1 500000 C
03 1 600001 51000000 C
04 0 1 3900000 C
04 0 5600001 25588944 C
04 1 1 3900000 C
04 1 5600001 25588944 C
05 0 1 43289288 C
05 1 1 43289288 C
06 0 1 25458373 C
06 1 1 25458373 C
07 0 1 21079565 C
07 1 1 21079565 C
08 0 1 25000000 C
08 1 1 25000000 C
09 0 1 31250336 C
09 1 1 31250336 C
