chr	haplotype	start	end	ancestral_group
01 0 1 28800000 M
01 1 1 28800000 M
02 0 1 29100000 M
02 0 29200001 34100000 M
02 1 1 29100000 M
02 1 29200001 34100000 M
03 0 1 500000 M
03 0 600001 51000000 M
03 1 1 500000 M
03 1 600001 51000000 M
04 0 1 25588944 M
04 1 1 25588944 M
05 0 1 38200000 M
05 0 38600001 43289288 M
05 1 1 38200000 M
05 1 38600001 43289288 M
06 0 1 18500000 M
06 1 1 18500000 M
07 0 1 3600000 M
07 0 3800001 13900000 M
07 0 14400001 21079565 M
07 1 1 3600000 M
07 1 3800001 13900000 M
07 1 14400001 21079565 M
08 0 1 25000000 M
08 1 1 25000000 M
09 0 1 31000000 M
09 1 1 31000000 M
