chr	haplotype	start	end	ancestral_group
01 0 1 13100000 C
01 0 13900001 28800000 C
01 1 1 13100000 M
01 1 13900001 28800000 M
02 0 1 34100000 C
02 1 1 34100000 M
03 0 1 20300000 C
03 0 20900001 39500000 C
03 0 39700001 43100000 C
03 0 43200001 51000000 C
03 1 1 20300000 M
03 1 20900001 39500000 M
03 1 39700001 43100000 M
03 1 43200001 51000000 M
04 0 1 25588944 C
04 1 1 25588944 M
05 0 1 3600000 C
05 0 6500001 43289288 C
05 1 1 3600000 M
05 1 6500001 43289288 M
06 0 1 18500000 C
06 1 1 18500000 M
07 0 1 3600000 C
07 0 3800001 21079565 C
07 1 1 3600000 M
07 1 3800001 21079565 M
08 0 1 25000000 C
08 1 1 25000000 M
09 0 1 2000000 C
09 0 2100001 31000000 C
09 1 1 2000000 M
09 1 2100001 31000000 M
