chr	start	end	AA	BB
chr01	20888	548563	0.4738155308979999	0.5201880625897147
chr01	558457	811010	0.5543940144024696	0.45195652604349
chr01	823679	1271156	0.542347822694582	0.4758262224403224
chr01	1271180	1611989	0.602274022709966	0.40973633311865665
chr01	1619700	1763688	0.5057617542444873	0.5477708103954462
chr01	1828424	2379408	0.4896017474591959	0.48599523047635607
chr01	2426011	2789872	0.48364293055540536	0.5098018292622446
chr01	2818829	3220983	0.41493325862766284	0.5918512774914547
chr01	3244703	3732616	0.4752970871238955	0.5216517592415799
chr01	3732624	4262755	0.5696865739062678	0.4587677356224283
chr01	4269595	4892524	0.4716727226391596	0.48353849849241226
chr01	4892547	5588578	0.48357682682380965	0.5070497795305854
chr01	5588599	5966875	0.6075076960635468	0.3967135445569562
chr01	5967200	6351058	0.46639997057475213	0.5233951740049035
chr01	6387642	6834959	0.5432255632890021	0.44950579065859836
chr01	6840051	7288591	0.5324314917250361	0.436293113646605
chr01	7294304	7976894	0.5591646267249499	0.45214678169138856
chr01	8024192	8326595	0.43519403873053675	0.5763914355842884
chr01	8331208	8958133	0.5417521507120574	0.4584298613481758
chr01	8958150	9361823	0.49306036089352795	0.5099969572615687
chr01	9365403	9802157	0.4887595971232053	0.5364209430788419
chr01	9835063	10059226	0.5248383324754177	0.47507831220816077
chr01	10059236	10318010	0.5095899122106138	0.4901277243287985
chr01	10318041	10875119	0.49497540392489536	0.4772999883230865
chr01	10898409	11121892	0.5139801738860814	0.5030740016621804
chr01	11121902	11681985	0.4927936686907431	0.4990532641748899
chr01	11729613	12402135	0.5236005059681977	0.4761610587320432
chr01	12439606	12695102	0.5205266940873499	0.46099675970709453
chr01	12756547	13640972	0.480633620381954	0.5761268966860541
chr01	13687732	14226725	0.49202562807699385	0.5065296717158214
chr01	14261385	14882065	0.5272652261843519	0.4622124676355312
chr01	15174475	16511019	0.48482961239513106	0.5065426321696204
chr01	16543119	18970663	0.5114290474491526	0.46225913159697635
chr01	19061815	20312525	0.5099458092873062	0.47009007190157015
chr01	20346581	21301183	0.4425164096777459	0.5799341899377264
chr01	21343343	24094259	0.5035153131487846	0.440667047554436
chr01	24307480	25813882	0.4693098791492399	0.5073119468415064
chr01	25850956	26563987	0.5212969884637477	0.48006327826796336
chr01	26582780	28960403	0.49397409335540776	0.5038019916522987
chr01	28960404	28960423	0.4460129593531039	0.5591468189532893
chr02	1560259	6345560	0.4576835191247853	0.5641750629075102
chr02	6345568	9177989	0.49078001026518053	0.5106420058605937
chr02	9289706	9951097	0.4776674920308249	0.4754857904642288
chr02	10061053	12466799	0.4880991536267637	0.5127255155494939
chr02	12801349	13769586	0.47023267292489157	0.5366002979915812
chr02	13769724	14554686	0.5522418517902625	0.44992624976926593
chr02	14554743	15278572	0.5104879290372955	0.47013534663552686
chr02	15278590	15701147	0.5454380146837153	0.4518499842035851
chr02	15701169	16419286	0.5058552215753142	0.47114939349734913
chr02	16419338	17016668	0.5102770677164921	0.50637580113869
chr02	17019122	17474153	0.48847091349895805	0.4413837980850843
chr02	17474186	17836284	0.5333119515709246	0.4735430893272062
chr02	17862233	18236293	0.4970659928476925	0.5046627135462206
chr02	18257717	18771477	0.49751490287147054	0.49129663844368077
chr02	18771498	19128217	0.4587090832464612	0.4880122726638076
chr02	19149817	19631935	0.4740649709160396	0.5466983313764798
chr02	19631991	20041573	0.4978238414093179	0.5046720335541905
chr02	20041579	20482459	0.5273822458005928	0.48525324566425265
chr02	20487004	20790423	0.49378996940489905	0.5126129795729526
chr02	20822757	21214668	0.5067199694280836	0.4996006666335487
chr02	21307913	21796598	0.4920260991764856	0.4741335415865215
chr02	21829910	22303538	0.5891130161957515	0.4467310965279692
chr02	22320832	22852878	0.45364547253021553	0.5572586783807262
chr02	22858670	23212471	0.5632409331519878	0.44094983933789816
chr02	23212492	23658607	0.6082328698035774	0.4398064028759325
chr02	23658610	24116548	0.480510073896007	0.5234610645670061
chr02	24116612	24618226	0.526761730390029	0.46311466267308965
chr02	24618237	24991478	0.508402139731782	0.512974003004322
chr02	25005046	25567233	0.5095877484552995	0.5165373648720527
chr02	25567239	25867786	0.4865802601536429	0.5489701387489927
chr02	25881867	26155820	0.6069545408128861	0.39680129555093796
chr02	26155838	26667821	0.5346738320774332	0.46158709723985075
chr02	26667825	26998250	0.5971657106441189	0.4252868672406633
chr02	26998264	27329976	0.5192518460759351	0.45061480834489065
chr02	27329987	27667672	0.4387383184496355	0.5294864128778323
chr02	27667681	27919192	0.5266850196419642	0.3940924283738913
chr02	27919195	28540650	0.5215121667366648	0.4655727848714143
chr02	28540679	28899679	0.5062400807566424	0.49313694563783694
chr02	28914199	29188742	0.5397054494738978	0.4570798889369458
chr02	29188743	29438438	0.5607020225547817	0.4284157720024587
chr03	108194	509161	0.5615879690563211	0.41643943674784095
chr03	509209	853081	0.4669095448163744	0.5120409849184914
chr03	853085	1140553	0.5258256920233767	0.44734455591028305
chr03	1140580	1470675	0.5132038674563192	0.49744675462350907
chr03	1528651	2067424	0.5189735548496927	0.4040527258293179
chr03	2171194	2685748	0.48657309997634823	0.530096236660316
chr03	2710142	3060455	0.5167602278912377	0.501492677697853
chr03	3060492	3421897	0.5153321766563813	0.49870069997204125
chr03	3426594	4078332	0.48957205620601596	0.5174205356801028
chr03	4082747	4654073	0.5535451843483511	0.4529234076809616
chr03	4654109	5128322	0.4718668029520331	0.5480094046987859
chr03	5128334	5724971	0.45785895956601463	0.512311291466752
chr03	5752244	6467458	0.5083813685328447	0.5176673817675448
chr03	6635379	7000690	0.47657576126267787	0.5244639466957253
chr03	7000696	7817336	0.5379813429362237	0.44238482330436757
chr03	7817352	8314342	0.5099270683406278	0.4709813768619716
chr03	8337111	9134013	0.5523265589064288	0.4616803562605663
chr03	9134022	9585799	0.5070028358775787	0.5011331319379243
chr03	9623378	9974010	0.48748842923730457	0.465965591066038
chr03	9974032	10991538	0.5628330974466816	0.4162624888029267
chr03	10991573	13123752	0.5072371082516863	0.5035754221755301
chr03	13490665	15023363	0.46401637325544964	0.5514367811921694
chr03	15044419	16805710	0.48464691670635063	0.5394608458868212
chr03	16808710	17643287	0.5834415012452288	0.4158770475773154
chr03	17643300	19003801	0.4819889719482094	0.524508597508288
chr03	19003811	22659482	0.4684386309105471	0.5225512632031515
chr03	22659491	23494318	0.4907772084577499	0.5307239167016428
chr03	23509627	23795606	0.4365789130981359	0.5846447542146169
chr03	23805823	24605105	0.5677248078338987	0.41466442001599096
chr03	24631315	24892278	0.47922196888678237	0.4536187240553939
chr03	24928090	25304831	0.5294031893904658	0.4290112450334063
chr03	25304866	25948367	0.48699862150494705	0.5602113514412438
chr03	25959262	26237980	0.5165162921115583	0.47040064275329785
chr03	26261772	26810437	0.5711449808651972	0.4392868202865534
chr03	26913320	27530610	0.5372626344799992	0.43803268225546
chr03	27545482	28206620	0.49937737309372865	0.49843607309823734
chr03	28238082	28715695	0.55014042220946	0.3682251912160216
chr03	28721155	29280216	0.5295073535690124	0.4768645978803031
chr03	29345403	29773115	0.5093228248230472	0.5009726893377359
chr03	29773147	30218152	0.5282348533887106	0.40954005505727803
chr03	30269511	30567803	0.5203011462460558	0.5351289890402426
chr03	30581741	31009197	0.5245021461388206	0.48078380041597074
chr03	31059403	31438133	0.5402744306669636	0.46684809153639567
chr03	31466150	31894009	0.5339165347834809	0.4320393861888894
chr03	31944877	32599193	0.574943880943567	0.4303806261759645
chr03	32613758	33127498	0.4161261621361836	0.5240279853514019
chr03	33219385	33656596	0.4770460286515649	0.4718915024155384
chr03	33663496	34314371	0.5411837040051166	0.4499467697624029
chr03	34337752	34781668	0.5211476374106603	0.5064156842502509
chr03	34781669	35001189	0.5039888395928138	0.5185970726456623
chr04	60911	491059	0.515266734119221	0.47359649700284656
chr04	530090	1190268	0.5255335109644362	0.47548052433145216
chr04	1211568	1926357	0.5009535526428257	0.4771963651656645
chr04	1983856	2547658	0.4678203059669525	0.5355837852735964
chr04	2547702	3154897	0.47790060059413536	0.5110976747386196
chr04	3189732	3885566	0.4798827056387467	0.5105177921947707
chr04	3885599	4382941	0.4815354889407982	0.5387097529744743
chr04	4436366	4866901	0.47643129531084977	0.5520778013731603
chr04	4866946	5125345	0.5115059939211655	0.500261336852896
chr04	5143262	5730613	0.5407544512774763	0.44720401604101406
chr04	5730625	6179340	0.5201694236087803	0.4553278077400271
chr04	6212548	6568759	0.5970806541914921	0.4049349979135501
chr04	6651761	7032523	0.5223365459203816	0.49785732435835417
chr04	7049997	7573525	0.4758392326274649	0.5102104182026137
chr04	7579399	8134865	0.5423201294594966	0.4631103478366232
chr04	8166752	8650194	0.48032383555643365	0.519355551594608
chr04	8938035	9914887	0.48821639989700855	0.5140190644671873
chr04	9914934	10589851	0.49327089953147335	0.5090925339328869
chr04	10589854	11410993	0.5292594230786039	0.4312011171946118
chr04	11411005	12072554	0.4723560926635291	0.5489640956200186
chr04	12072606	14905958	0.4925469817562459	0.49113640847540363
chr04	14905966	15610073	0.5278369142797243	0.44100384613637494
chr04	15780362	16517601	0.456158791524028	0.45427762416813916
chr04	16517629	17543132	0.5123682627524837	0.5153867652899082
chr04	17580290	18880835	0.5192280666118548	0.48172982467594366
chr04	18968835	20118665	0.49845855057418037	0.4769076649129033
chr04	20118674	21040948	0.5186360936622534	0.48477752835200166
chr04	21207796	22100267	0.524308039621674	0.48309804193185485
chr04	22100320	22872683	0.4993883260300195	0.4870216157653646
chr04	22874620	23234755	0.46080386311310784	0.5221379386356365
chr04	23249471	23707522	0.5497974751689311	0.4540942003018123
chr04	23707539	23999036	0.5533750304828656	0.452653090149884
chr04	24039546	24769988	0.5078212954413053	0.47709363503412766
chr04	24785458	25707067	0.5349103485325463	0.47243621908893085
