chr	haplotype	start	end	ancestral_group
01 0 1 20887 un
01 0 20888 28960423 AA
01 0 28960424 29070452 un
01 1 1 20887 un
01 1 20888 28960423 BB
01 1 28960424 29070452 un
02 0 1 2432379 un
02 0 2432380 29438438 BB
02 0 29438439 29511734 un
02 1 1 2432379 un
02 1 2432380 29438438 AA
02 1 29438439 29511734 un
03 0 1 108193 un
03 0 108194 35001189 AA
03 0 35001190 35020413 un
03 1 1 108193 un
03 1 108194 35001189 BB
03 1 35001190 35020413 un
04 0 1 60910 un
04 0 60911 37039672 AA
04 0 37039673 37105743 un
04 1 1 60910 un
04 1 60911 37039672 BB
04 1 37039673 37105743 un
05 0 1 41153 un
05 0 41154 41717309 BB
05 0 41717310 41853232 un
05 1 1 41153 un
05 1 41154 41717309 AA
05 1 41717310 41853232 un
06 0 1 97901 un
06 0 97902 37576547 BB
06 0 37576548 37593364 un
06 1 1 97901 un
06 1 97902 37576547 AA
06 1 37576548 37593364 un
07 0 1 64699 un
07 0 64700 35021330 BB
07 0 35021331 35028021 un
07 1 1 64699 un
07 1 64700 35021330 AA
07 1 35021331 35028021 un
08 0 1 60354 un
08 0 60355 38886328 BB
08 0 39630389 44175625 AA
08 0 44727407 44859922 un
08 0 44859923 44889171 un
08 1 1 60354 un
08 1 60355 44859922 AA
08 1 44859923 44889171 un
09 0 1 51112 un
09 0 51113 2184602 BB
09 0 2462243 4194661 AA
09 0 4516265 4516265 un
09 0 5051441 41302964 BB
09 0 41302965 41306725 un
09 1 1 51112 un
09 1 51113 41302964 AA
09 1 41302965 41306725 un
10 0 1 520082 un
10 0 520083 37665347 AA
10 0 37665348 37674811 un
10 1 1 520082 un
10 1 520083 37665347 BB
10 1 37665348 37674811 un
11 0 1 182112 un
11 0 182113 27913438 BB
11 0 27913439 27954350 un
11 1 1 182112 un
11 1 182113 27913438 AA
11 1 27913439 27954350 un
