chr	haplotype	start	end	ancestral_group
01 0 1 29070452 g4
01 1 1 1032599 g4
01 1 1032740 1900983 g7
01 1 1901044 29070452 g4
02 0 1 29511734 g4
02 1 1 29511734 g4
03 0 1 35020413 g4
03 1 1 25475900 g4
03 1 25475907 25656852 g7
03 1 25656925 25722686 g4
03 1 25722824 25725479 g7
03 1 25725486 25747807 g4
03 1 25747833 25770038 g7
03 1 25770071 35020413 g4
04 0 1 11606267 g4
04 0 11606285 11643723 g7
04 0 11643744 12074094 g4
04 0 12088203 12088621 g7
04 0 12088664 32467905 g4
04 0 32467913 32472078 g7
04 0 32472106 32472106 g4
04 0 32473685 32616674 g7
04 0 32616871 37105743 g4
04 1 1 37105743 g4
05 0 1 41853232 g4
05 1 1 41853232 g4
06 0 1 32307154 g4
06 0 32307172 32308436 g7
06 0 32308501 32422274 g4
06 0 32422277 32422277 g7
06 0 32422287 32534914 g4
06 0 32534959 32535223 g7
06 0 32535238 32539374 g4
06 0 32540855 32545564 g7
06 0 32545585 37593364 g4
06 1 1 37593364 g4
07 0 1 7316005 g4
07 0 7317948 7318120 g7
07 0 7318455 7318461 g4
07 0 7319780 7388146 g7
07 0 7388164 7460025 g4
07 0 7460092 7460092 g7
07 0 7460122 7462839 g4
07 0 7474676 7474987 g7
07 0 7475007 7477767 g4
07 0 7477962 7477962 g7
07 0 7477987 7478019 g4
07 0 7478088 7478118 g7
07 0 7478253 7482782 g4
07 0 7482965 7641818 g7
07 0 7641835 7753186 g4
07 0 7753195 7902743 g7
07 0 7902837 7902848 g4
07 0 7902852 7955551 g7
07 0 7955572 9134975 g4
07 0 9135037 9385067 g7
07 0 9385092 9400304 g4
07 0 9400332 9400332 g7
07 0 9400356 9401208 g4
07 0 9401236 9437658 g7
07 0 9437709 9437910 g4
07 0 9438204 9438323 g7
07 0 9439193 9439231 g4
07 0 9439251 9439340 g7
07 0 9439364 9512536 g4
07 0 9512807 9513096 g7
07 0 9536623 9539182 g4
07 0 9539186 9575036 g7
07 0 9575048 9580391 g4
07 0 9580411 9581698 g7
07 0 9581716 9605449 g4
07 0 9605479 9630784 g7
07 0 9630793 9630935 g4
07 0 9630944 9730089 g7
07 0 9730093 35028021 g4
07 1 1 35028021 g4
08 0 1 44889171 g4
08 1 1 4590270 g4
08 1 4590288 4604063 g7
08 1 4604706 44889171 g4
09 0 1 41306725 g4
09 1 1 41306725 g4
10 0 1 37674811 g4
10 1 1 37674811 g4
11 0 1 27954350 g4
11 1 1 27954350 g4
