chr	haplotype	start	end	ancestral_group
01 0 1 28800000 P
01 1 1 28800000 P
02 0 1 22200000 P
02 0 22300001 35200000 P
02 0 35400001 36200000 P
02 1 1 22200000 P
02 1 22300001 35200000 P
02 1 35400001 36200000 P
03 0 1 51003500 P
03 1 1 51003500 P
04 0 1 25500000 P
04 1 1 25500000 P
05 0 1 23300000 P
05 0 24400001 43100000 P
05 1 1 23300000 P
05 1 24400001 43100000 P
06 0 1 25400000 P
06 1 1 25400000 P
07 0 1 8400000 P
07 0 9400001 20500000 P
07 1 1 8400000 P
07 1 9400001 20500000 P
08 0 1 24700000 P
08 1 1 24700000 P
09 0 1 31200000 P
09 1 1 31200000 P
