chr	haplotype	start	end	ancestral_group
01 0 1 11100000 M
01 0 13300001 27100000 M
01 0 27300001 28800000 M
01 1 1 11100000 M
01 1 13300001 27100000 M
01 1 27300001 28800000 M
02 0 1 21800000 M
02 0 22000001 22200000 M
02 0 22300001 29700000 M
02 0 29800001 34100000 M
02 1 1 21800000 M
02 1 22000001 22200000 M
02 1 22300001 29700000 M
02 1 29800001 34100000 M
03 0 1 500000 M
03 0 600001 43100000 M
03 0 43200001 51000000 M
03 1 1 500000 M
03 1 600001 43100000 M
03 1 43200001 51000000 M
04 0 1 25588944 M
04 1 1 25588944 M
05 0 1 43289288 M
05 1 1 43289288 M
06 0 1 15000000 M
06 0 15100001 18500000 M
06 1 1 15000000 M
06 1 15100001 18500000 M
07 0 1 21079565 M
07 1 1 21079565 M
08 0 7900001 21800000 M
08 0 21900001 25000000 M
08 1 7900001 21800000 M
08 1 21900001 25000000 M
09 0 1 31000000 M
09 1 1 31000000 M
